stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,spinal.cord,taste,vasculature
  5-6,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0.9,0,0,0
 24-34,0,0,0,2.02,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,3.06,0,0
 36-46,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,1.04,0,0,0,13.08,0.76,0,2.17,0,5.08,0,0
 48-58,0,0,1.03,0.45,2.13,0,0,0,0,0.54,0,0,0,1.98,0,0,0,0,0,13.96,0,0,0,0,4.17,0,0
 60-70,0,0,0,7.41,1.91,0.76,0.81,2.93,0,0.65,0,0,0,0,0.93,1.36,0,0.7,0,9.17,0,0,0,0,0,0,0
 72-82,0,0.98,0,19.47,4.54,0,0,1.03,0,1.76,0,0,0,0,0,1.12,0.96,0,0,11.21,6.1,0,0,0,0,0,0
 84-94,0,0,3.19,8.12,7.94,0,0,0,4.78,1.79,0,0,0,0,0,1.78,0,0,0.55,12.19,0.9,0,0,0,0,0,0.6
 96-106,0,0.81,1.67,14.74,4.46,0,0,0,3.41,6.46,0,0,0,4.73,0,0,0,0,0,3.38,0,1.74,0.84,0,0,1.01,0
108-118,0,0,5.97,1.98,0,0,3.21,0,3.13,11.09,1.03,1.59,0.98,0,0,0,0,0,0,1.53,1.27,0,4.02,0,0,0,1.44
120,0,0,5.55,1.01,0,0,0,16.39,7.56,4.96,3.9,0,0,0,0,1.5,0,0,3.76,1.36,0,0,1.45,0,0,0,0
