stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,1.01,0.99,0,0,0,0,0,0,0,0,0,0,0.8,0,3.11,16.34,1.14,0,0,0,4.97,3.31,10.12,0,0
 24-34,0,0,0,9.05,0,0,1.18,1.02,0,0,1.69,0,5.64,0,0.75,89.05,1.23,1.88,9.72,1.55,0,0,20.77,1.32,0.79
 36-46,1.07,0,0,7.19,0,0.6,1.3,0,0,0,16.72,0,4.75,0,0,86.89,0,0,0.61,5.09,0,0,9.4,0,0
 48-58,0,0,0,39.97,1.13,0,7.59,0,0,1.05,9.77,0.39,10.2,0,4.69,113.85,0,0.97,0.68,0,0,0,12.28,0,0
 60-70,1.4,0,0,35.75,3,0,1.9,0,0,0,27.5,0,6.77,0.64,0,69.01,0,0,1.63,3.08,0,0,2.8,0,0
 72-82,0.72,1.12,0,26.43,0,0.67,3.48,0,0,0.64,41.04,1.69,7.28,0,0.64,74.55,0,0.52,3.96,0,0,0,7.79,2.28,3.46
 84-94,0.64,1.77,0,43.84,0,1.43,8.33,0,1.95,0,43.14,0,16.8,0,0.84,34.94,0,1.31,1.89,4.05,0,0,6.17,3.6,0
 96-106,0.69,0,0,20.08,0,0,4.38,0.64,0,0.9,81.74,2.07,7.54,0,0,59.97,0,0,1.68,2.34,0,0,0,0,0
108-118,0,8.06,0.82,31.88,1.46,0,9.21,0,0,2.15,59.16,0.61,16.18,0,0,32.78,0.47,0.46,3.2,1.8,0,0,3.47,0,4.68
120,0,0,0,1.5,0,0,0,0,0,0,57.58,0,2.99,0,1.62,64.64,0,0,1.5,2.48,0,0,0,0,0
