stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,14.77,0,3.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.19,0,0,0,0,0,0,0,2.1,4.04,0.92,0,2.13,0,0,0,0,0,0,0,2.82,0.83,0,0,0,0,0,0.89,3.09,1.92,1.99,0,0,0,0,0
 24-34,0,0,2.55,0,0,0,0.72,0.9,0,1.02,0,0,0,0,6.12,0,0,0,6.96,0,0,0,13.45,6.16,0,0,0,0,1.6,0.63,0,1.33,0,0,0,2.48,0,0.86
 36-46,0,0,0.87,2.92,0,2.63,1.34,7.65,0,0,0,0,0.84,0,2.71,0,0,1.33,9.51,0.89,0,3.61,6.94,2.35,1.27,0,0,0,5.83,0.7,0,0,2.73,0,0,6.18,0,0
 48-58,0,0,1.8,0,0,2.95,0,0.55,1.16,5.07,0,0,0,0,0.49,4.61,0,0,14.91,0,0.5,1.52,7.54,9.83,0,0,0,0,7.42,0,0.46,0,7.08,0,0,0.63,0,0
 60-70,0,0,0.82,0,0,10.19,2.17,1.01,1.84,1.6,0,0,0,14.72,0,2.04,4.2,0,31.61,0,1.25,0.81,9.49,2.85,0,0,0,1.13,7.75,0,0,0,0,0,0,2.87,0,0.7
 72-82,1.66,0,1.49,0.54,0,9.84,0.9,0,0.95,2.27,2.32,0,1.6,0.49,0.59,0,0.74,0,34.33,0,13.51,0.49,2.64,0.55,0,0,0,0,0,0,0,0,1.77,0,0.52,1.84,1.16,0
 84-94,3.91,0,7.04,0,0,7.3,0.73,2.35,0,7.89,3.13,0,0,0.64,0.6,0,0,4.27,36.07,0,2.03,3.65,3.9,4.61,0,0,0,0,0,1.69,0,0,3.95,0,4.46,0,2.65,0.82
 96-106,1.19,0,4.55,1.23,0,5.29,0.58,0,0,10.35,3.94,0,1.55,2.55,1.67,0,0,2.94,36.02,0,2.59,2.36,10.73,6.25,0.56,0.6,0,1.28,0.94,0,0,0,4.7,3.18,0.72,8.27,2.22,2.01
108-118,0.93,0,6.83,8.03,0.8,16.89,1.54,5.11,1.86,16.13,6.09,0,1,2.62,0.44,1.96,1.19,0,31.62,0,3.5,2.73,2.54,0.59,0.47,1.58,0,5.78,3.96,0.9,0.42,0,0,1.35,0,2.31,0.87,3.25
120,0,0,6.57,0,0,0,2.94,0,0,7.28,7.14,0,0,3.15,0,0,0,0,33.48,0,11.56,0,29.31,3.38,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
