stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,333.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.84,84.67,0,40.2,0,0,0,151.53,0,0,0,0,0,21.59,0,0,0,0,0,0,0,0,0,0,947.52,23.09,0,0,418.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.76,0,43.08,0,0,0,126.53,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,1010.39,83.96,0,0,390.19,0,0,4.36,17.93,0,0,0,0,0,0,0,0
 14-21,0,0,5.72,1.92,9.14,8.56,0,8.97,0,0,0,9.05,4.05,0,3.18,0,0,0,59.85,0,13.85,0,0,15.12,282.63,4.02,13.49,3.24,10.47,0,0,16.14,0.9,8.16,33.97,222.07,0,0,1.77,0,0
 24-34,0,0,2.63,0,2.86,0.82,0,21.89,0,0,0,7.64,0,0,0,0,0,0,27.08,4.04,17.86,0,0,4.61,653.51,1.84,75.36,1.5,0,0,0,0,0,0,0.61,271.74,0,0,10.02,0,0.78
 36-46,0,0,0,0,0,0,0,88.34,0,0,0,6.18,0,0,0,0,0,0,0,0,7.89,0,0,2.11,990.76,0,73.01,0.77,0,0,0.7,0,0,0,0,250.6,0,0,1.23,0,0
 48-58,0,0,0,0,3.43,0,0,215.94,0.85,0,1.43,26.93,0,0,0,0,0,0,2.23,0.46,12.18,0,0.4,7.94,1468.26,0,45.3,2.54,0,0,3.3,0,0,0,0,302.8,0,0,0,0,1.21
 60-70,0,0,0,0,3.46,0,0,549.07,1.38,0,0,18.55,4.11,0,0,0,0,0,0,0,19.12,0.73,1.14,0,1540.93,0,28.06,0,0,0,5.37,0,4.15,0,0,237.14,0,0,0.93,0,0
 72-82,0,0,0.81,0,1.68,1.12,0,688.04,0,0,3.61,20.82,1.12,0,0,0,3.99,1.05,0,0.49,23.66,0,0,0.75,1302.81,0,48.89,5.08,0,0,0,0,0,3.93,0,116.72,0.8,1.32,2.02,0,6.57
 84-94,0,0,1.15,0,4.61,10.1,0,417.02,0,0,0.89,34.56,0.68,0,0,1.66,0.74,0,0,0,25.61,0,2.23,0.58,896.44,0,38.15,3.19,0,0.91,3.62,0,0,0,0,86.24,0,1.91,0.97,0.77,0
 96-106,0,0,0,0,5.41,4.74,1.05,416.71,0.57,1.48,1.86,26.39,1.38,0,0,1.36,0,0,5.58,0,14.22,0,0,2.33,730.58,0,80.65,4.43,0,0,3.46,0,0,0,0,37.85,0,0.87,0,0,10.01
108-118,0,0,0,0,2.07,0,3.21,428.91,0,0,1.73,30.31,0.8,0,0,0.49,1.87,0,1.03,0.47,8.9,0,0,0,862.22,0,56.41,10.89,0,0,0,0,0,0,0,13.94,2.47,0,0,1.11,0
120,0,0,0,0,12.39,9.93,0,404.01,0,0,0,53.71,0,0,0,4.75,0,0,0,0,8.84,0,0,10.07,1008.51,0,57.76,0,0,0,0,0,0,0,0,42.25,0,0,0,18.94,0
