stage,eye,glial,gut,mesenchyme,neural,olfactory,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,1.11
 24-34,0,0,0,0,0.68,0,0,1.05
 36-46,0,0,0,0,1.8,0,1.75,0
 48-58,0,0,0,0.46,0.8,0,0,1.02
 60-70,0,0,0,0,1.18,1.31,0,0
 72-82,0.67,1.17,0,0,1.52,0,0,0
 84-94,0,0,4.25,0,0,0,0,0
108-118,0,0.54,0,0,0,0,0,0
