stage,blastomeres,epidermis,fin.epithelia,heart,immune,ionocyte,mesenchyme,muscle,neural,periderm,vasculature
  3-4,12.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.63,0
 24-34,0,0,0,0,0,0,0,0,0,1.26,3.69
 36-46,0,0,0,0,0,0,0,0,0,17.01,0
 48-58,0,0,0,0,0,0,0,0.94,2.6,7.01,0
 60-70,0,0,0,0,0,0,0,0,0,5.97,0
 72-82,0,2.1,0,0,0,0,0,0,1,19.96,0.98
 84-94,0,0,0,0,0,0,0,0,0,8.44,0
 96-106,0,0,0.66,0.61,1.08,0.58,0,0,2.42,20.03,0
108-118,0,1.14,0.59,0,0,0,5.56,0,0,23.35,0
120,0,1.52,0,0,1.81,0,0,0,0,9.2,0
