stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,63.99,229.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,407.34,0,0,0,0,0,0,0,62.79,0,7.5,0,0,0,0,0,0,0
  7-9,0,0,7.19,0,0,12.49,0,0,0,202.08,13.45,20.76,0,8.9,0,0,0,0,0
 10-12,0,0,0,0,0,7.19,0,0,0,36.91,0,5.27,0,0,0,14.37,5.05,0,0
 14-21,0,0,0.91,6.68,0.87,0,0,5.92,3.21,10.21,0,0.98,2.23,17.62,4.69,0.86,1.63,2.8,0
 24-34,0,0,0,0.65,0,0,0,1.73,0,5.84,0,0,2.57,1.29,0,0,0,0,0.65
 36-46,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,2.31,0
 60-70,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0
