stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,27.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,17.04,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0
 14-21,0,2.33,0,0,0,0,0,0,0,0,0.96,0,0,3.13,0,0,0,29.39,0,0,0,0,0,0,48.75,0,0
 24-34,0,3.54,0,0,0,5.29,0,0,0,0,4.78,0,0,1.22,0.8,0,0,142.11,7.77,7.3,1.56,0,0,0,78.92,0,0.81
 36-46,0,0,0,0,0,16.31,0,0,0,0,0.57,0,0,0,0,0,0,290.84,0,5.95,0,0,0,0,62.74,0,0
 48-58,0,0,0,3.52,0,71.66,0,0,8.01,0,0,0,0,0.41,3.76,0,3.25,444.3,0,6.61,0,0,0,0,59.24,0,0.5
 60-70,0,0,0,0,0,254.94,0,0,7.59,0,0.6,0,7.43,0,7.79,0,0,448.85,0,9.08,1.26,0,6.85,0,39.13,0,0
 72-82,0,2.29,0,1.16,0.56,501.31,0,0.9,10.91,0,0.75,0.49,0.72,0,13.96,0,0,553.82,0.73,23.39,1.77,0,0,0,32.59,2.24,1.79
 84-94,0,1.79,0,4.11,0.61,448.87,0,0.94,6.47,2.94,0,0,0,0,10.97,0.57,0.57,475.12,0,10.98,0,5.27,2.83,2.53,27.17,0,0
 96-106,0,3.48,0,3.9,2.46,450.62,0,0.82,10.67,3.17,0,0,0.81,10.33,23.31,0,1.5,363.44,0,23.93,4.91,4.67,0.57,0,20.49,0,0
108-118,0,0,0,0,0,300.61,4.61,0,9.08,0,0.47,1.5,0.85,0,21.02,0,0,444.73,0,4.01,8.94,0,0,0,18.36,0,0.93
120,0,7.64,0,1.63,0,199.62,0,0,6.26,0,0,0,0,0,22.51,3.2,0,583.13,0,5.12,6.8,0,0,0,27.13,0,0
