stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,0,13.48,0,0,0,0,0,0,0,0
  5-6,7.12,6.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.87,0
 14-21,0,0,1.28,0,0.84,0,11.43,0,0,14.86
 24-34,0,0,0.72,0,3.48,0,28.65,0.75,0,24.04
 36-46,0,0,0,6.63,5.13,0,32.98,0,0,14.92
 48-58,0,0,0,20.45,11.09,0,23.73,0,0,16.99
 60-70,0,0,0,55.52,3.59,0,29.89,0,0,2.44
 72-82,0,0,0,13.86,5.36,0,13.68,0,0,0
 84-94,0,0,0,12.72,8.88,0,24.37,0,0,0
 96-106,0,0,0,8.11,0,0,24.01,0,0,4.62
108-118,0,0,0,10.67,4.66,2.38,15.31,0,0,0
120,0,0,0,8.74,2.82,0,28.98,0,0,0
