stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.78,0,0,8.29,0,0,0,0,0
 14-21,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0.86,0,0,0
 24-34,0,0.67,0,0,0,1,0,0,0,0,0,0,2.3,0,0,5.27,0,1.58,0,1.1,0.64,4.36,0,0
 36-46,0,1.24,1.03,0,0,0.59,0,0,0,0,0,0,2.49,0,1.49,4.67,0,0,0,6.52,0,0.67,0,0
 48-58,0,0,1.12,0,0,0,0.68,0,0,0,0,0,0.83,0,0.77,5.86,0,0,0,0,0,0.57,0,0
 60-70,0,0,1.93,0,0.64,0,0.62,0,0,0,0,2.25,6.34,0,0,12.07,0,0,0,3.17,0,1.88,0,0
 72-82,0,0.52,4.55,0.5,0,1.93,0,0,1.43,3.2,0,0,5.01,0,0,4.56,0,0.56,0,0,0,0,0,0
 84-94,0,0,1.91,0,0,0.63,0,0,1.36,1.1,0,0,3.38,0.69,0.75,1.68,0,0,0,3.02,0,0,0,0
 96-106,0,0,1.74,0,0,0.99,0,0.86,0,0,1.33,0,4.94,0,0,0,0,0,0,0.64,0,0,0.92,1.15
108-118,0,0.75,3.57,0,0,2.23,0,0,0.97,0,0,0,7.83,0,1.67,1.33,0,0,0,0,0,0,0,0
120,0,2.58,3.1,0,0,0,0,0,0,0,0,0,0,0,0,37.19,2.92,0,0,0,0,0,0,0
