stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,13.27,0,7.94,0,0,0,0,0,0,0,2.16,8.45,0,0,10.57,37.28,0,1.23,0.98,0,0,0.92,0,6.32,20.35,0,0,0,17.83
 24-34,0,0,0.59,9.97,0,4.78,1.29,0,0.73,1.06,0,2.07,0.67,18.09,12.69,0,0,7.84,44.46,0.59,0,5.8,0,0,0,0,0,12.14,0,0.84,0,22.45
 36-46,0,0,0,2.16,0,3.04,0,0,0,0.69,0,0,0,0.91,8.31,0,1.32,2.81,79.56,0,1.09,7.87,0,0,0,0,0,5.45,1.04,0,0,17.71
 48-58,0,0,0.43,13.26,0,12.67,0,3.02,0,0.78,0,0,0,4.43,11.48,0.95,7.49,1.27,101.7,0,0.63,8.6,0,0,0,4.39,0,14.14,0.85,0,0,6.64
 60-70,0,0,0,15.31,0,26.59,3.43,3.14,0,0,0,0,0,1.24,21.54,0,11.41,0.65,201.23,0,0,11.37,0,0.63,0,0,0,27.76,0.67,0,0,24.96
 72-82,0,0.5,0,24.66,0.53,36.08,0,22.26,0,0,0,0.76,0.56,0,25.4,0.92,10.11,1.31,237.45,0.53,0,18.17,0.59,0,0,0,0,24,0,0,3.36,5.01
 84-94,0,0,0,70.68,0,58.4,10.41,12.29,0,0,1.12,0,3.96,4.89,21.07,1.01,8.19,0,197.96,0.62,0,34.65,0,6.56,0,0,0,35.91,5.78,0,10.4,19.66
 96-106,0,0,0,95.65,0,29.13,5.85,83.34,3.1,0,0,0,1.76,0,44.07,1.52,4.83,2.63,265.05,1.77,1.49,33.51,1.32,1.8,0,0,0,9.73,4.62,3.82,3.54,14.05
108-118,0.5,0.62,0,93.19,0,31.48,9.46,57.6,6.19,0.8,0.44,1.74,0.56,2.41,16.63,0,8.82,1.45,282.06,0,2.8,29.57,2.56,3.13,0,0,0,18.65,0.54,0,2.79,12.42
120,0,0,0,49.05,1.53,35.04,18.24,35.76,0,0,0,0,0,0,55.91,1.63,29.59,1.1,298.24,0,0,49.16,0,2.88,0,0,0,18.09,0,0,9.48,0
