stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,18.77,0,0,0,0,0,0,0,0,92.3,0
  5-6,9.75,0,0,0,0,0,0,0,0,59.58,0
  7-9,8.43,0,0,5.93,0,0,0,81.88,3.7,5.09,0
 10-12,6.96,0,0,0,0,0,0,6.55,6.11,0,0
 14-21,0,0,0,0,0,0,0,1.64,0,0,0
 24-34,0,0,0,0,0,0,0.65,1.57,0,0,0
 36-46,0,3.77,0,0,0,0,0,14,0,0,0
 48-58,0,0,0,0,0,0,0,24.49,0,0,0.38
 60-70,0,0,0,0,0,0,0,23.6,0,0,1.75
 72-82,0,0,0,0,1.08,0,2.49,22.78,0,0,1.56
 84-94,0,0,0,1.96,0,1.65,0,14.4,0,0,0
 96-106,0,0,0,1.71,4.26,0,0,11.17,0,0,0
108-118,0,0,0,0.58,0.62,0,0,3.32,0,0,0
120,0,0,12.9,0,0,0,0,11.41,0,0,3.5
