stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,37.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.63,0,3.58,0,0,0,0,0,0,0,0
 10-12,0,0,9.4,0,0,0,0,0,0,0,0,33.12,0,12.75,0,0,0,0,0,0,0,0
 14-21,0,2.31,0,0,0,0,0,0,0,0,0,5.67,0,0,1.01,6.84,0,1.89,0,0,0,0
 24-34,0,0.6,0,0,0,0,0,0,0,0,0,7.34,0,0,0,0,0,0,2.29,1.44,0,0
 36-46,0,0,2.19,0,0,0,0,0,0,0,0,25.12,3.33,0,0,0,0.6,0,3.04,0.58,0,0
 48-58,0,0,7.02,0,2.09,0,7.07,0,0,0.94,0.49,27.17,1.66,0,0,0,0,0,3.29,0,0,1.08
 60-70,0,0,11.54,2.26,0,0,6.09,0,0,0.78,0,4.45,2.59,0,0,0,0,0,0,0,0,0
 72-82,0,0.97,6.46,0,0.69,0,0.64,0,0,0,0,13.58,0.7,0,0,0,0,0,1.19,0.5,0,0
 84-94,0,0,12.72,0,0.66,0,4.23,0,0,0,0,14.57,0,0,0,0,0,0,0,0,0.6,0
 96-106,0,0,12.47,0,0,0,0,0.86,0,0.94,0,2.96,0,0,0,0,0,0,0,0,0,0
108-118,0,0,3.81,0,0,0,6.37,0,1.05,2.69,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,3.83,0,9.05,3.85,9.01,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0
