stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.36,154.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,80.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.81,0,0,0,0,5.79,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,50.92,0,0,0,26.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.72,0,0,0,0,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.96,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,1.41,10.86,0,0,0,0,4.33,0,0,0,0,4.05,15.05,0,0,0,0,0,24.72,0,7.16,0,0,508.65,3.31,0,0,0,0,0
 24-34,0,0,0,23.86,0,0,26.41,1152.34,0,0,3.96,0,0,16.17,5.2,1.58,0,0.68,2.34,0.71,27.92,0,0,326.52,487.93,0,5.42,2.83,0,0,67.15,0,1.1,4.79,0,661.6,59.8,0,0,14.32,0,0
 36-46,0,0,0,23.82,0,0,49.78,2542.43,13.2,8.51,7.41,0,0,13.67,3.12,0,2.15,2.09,2.63,9.47,28.75,0,0,167.73,362.34,0,1.89,0.63,0,0,57.93,0,0,0,0,43.31,101,0,0,12.21,0,11.56
 48-58,0.39,0,0.44,21.6,3.03,0,270.04,2489.83,18.27,2.48,57.12,2.01,3.26,8.2,9.43,0,0.84,0.77,8.49,0,112.02,0.41,3.29,171.49,883.82,11.55,13.61,6.31,0,0,34.93,0,0,5.9,13.48,0,167.31,0,0,14.77,0,59.05
 60-70,0,0,11.73,22.47,4.82,0,253.38,1660.79,5.35,0.76,51.89,1.59,0,7.47,0.65,10.78,0,2.63,1.73,0,67.17,2.07,0.59,167.92,576.54,0,13.73,9.9,0,0,20.43,0,0,4.37,0,0,94.06,0,6.43,8.55,0,23.83
 72-82,0,0,0.98,9.76,25.99,0,277.14,1025.37,13.97,11.76,40.28,0,0.52,6.11,9.8,0.75,2.96,3.8,0,14.17,90.89,4.69,1.14,134.63,367.31,0,2.23,8.97,8.02,4.65,12.04,0,0,0,0,0,43,0,0.75,10.74,1.45,24.69
 84-94,0,0,0,15.3,77.4,0,341.3,1612.52,0.62,10.02,89.82,1.76,0,9.19,9.71,1.44,0,0,3.62,0.96,120.45,0,10.21,122.53,403.37,0,4.08,2.11,0,2.56,89.63,0,0,0.9,0,0,46.74,0,2.77,6.01,0,20.92
 96-106,0,0,3.4,43.48,120.14,17.49,491.17,2438.04,5.92,10.54,125.11,7.55,0,14,5.85,2.34,5.52,0.63,17.29,2.28,185.23,11.05,12.59,194.06,723.45,0.68,13.35,6.16,0,9.64,96.34,3.39,0,1.28,6.41,0,48.85,0.8,5.01,22.33,4.78,53.43
108-118,0,0,0,23.38,29.7,4.06,284.85,1866.23,1.92,4.28,41.78,5.98,0,23.59,4.21,5.54,4.52,2.61,16.13,5.78,125.99,8.35,4.09,233.01,453.94,0.51,2.86,3.53,0,7.4,51.22,0,0,0.42,0,0,10.09,1.13,0.86,7.67,0,22.42
120,0,0,0,27.67,44.51,1.03,134.88,1097.08,2.07,0,33.32,0,0,7.14,5.83,1.63,0,0,0,0,91.38,0,0,179.93,247.49,4.91,4.77,5.9,0,0,1.11,0,0,0,10.96,0,12.32,0,0,26.72,2.54,0
