stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.04,36.57,0,0,3.03,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,0,0.91,10.82,0,0,0,0,0,1.13,13.28,3.25,0,0,0,0,0,2.19,3.48,3.6,0.81,30.37,0
 24-34,0,0.6,0,0,0,2.38,10.58,0,0,0,0,0,0,38.01,0,9.11,2.18,0,0,0,0,3.3,0,0.62,37.73,0
 36-46,0,1.51,0,0,0,6.6,2.18,0,0,0,0,0.58,0,74.7,0,9.18,0.77,0,0,0.73,0,3.17,0,0,19.5,0
 48-58,0,0,0,0,0,22.28,3.68,0,0,0,0.4,1.47,0,61.34,0,2.44,14.14,0,0,0,0,0.43,0,0,18.16,0
 60-70,0,0,0,0,0,60.32,2.11,0,0,5.96,0.6,0,0,107.24,0,11.99,2.47,0,3.28,0,0,9.83,0,0,6.92,0
 72-82,0,0,0,0.8,0,66.66,19.05,0.94,1.02,0,2.4,3.53,0,154.79,0,24.59,6.57,0,0,0,0,0,0,0,7.19,0
 84-94,0,1.29,0,0.64,6.72,55.59,9.89,0,0.66,0.67,1.41,6.78,0,163.4,0,12.4,14.03,0,0,0,0,0,0,0,7.12,0
 96-106,0,3.09,0,2.91,4.39,21.74,15.5,0,0,0.71,3.23,0,1.24,139.17,0,21.79,10.9,0,1.13,0,0,0,0,0,16.45,0
108-118,0,0.54,0,0,0,42.15,21.88,3.62,0,0,1.58,0,0,229.93,0,19,9.23,0,0,0,0,1.22,0,0,13.51,0
120,0,0,0,0,0,12.35,13.27,3.22,0,1.18,7.99,0,0,449.91,0,46.47,25.8,0,0,0,0,1.87,0,0,9.79,1.52
