stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,14.53,471.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.61,348.52,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,58.29,0,0,0,0,12.4,0,0,0,0,0
  7-9,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.76,5.59,0,0,67.03,0,0,0,0,0,0
 10-12,0,7.72,21.25,0,0,6.05,0,0,4.6,0,0,0,0,0,0,0,51.82,0,0,0,27,0,14.94,0,0,0,0
 14-21,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0.94,0,0,0
 24-34,0,0,0,0,0,3.21,0,5.37,0,0,0,0,1.77,0,0,0,24.69,0,1.13,0,0,1.11,0.65,4.96,0,2.29,0
 36-46,0,0,0,0,0,0.95,0,0,0,0,0,0,1.38,0,0,0.59,19.67,0,2.14,0,0,1.99,0,12.09,0,1.03,0
 48-58,0,0,0,0,1.81,10.12,0.86,1.66,0,0,0,0,0.94,0,0,0,36,0,0,0,0,0,0,10.83,0,0,0
 60-70,0,0,0,0.95,0,22.11,0,0.97,0,0,0,0.72,1.13,0,0,0,41.93,0,0,0,0,0,0,22.07,0,0,0
 72-82,0,0,0,0,0,24.35,0,8.6,0,0.53,0,0,3.69,0,0,0,60.25,0,1.14,0,0,0,0,17.08,0,0,6.63
 84-94,0,0,0,0,1.58,28.73,0,0,0,0,0,0.98,4.29,0,0.87,0,14.67,0,0,1.44,0,2.63,0,12.08,0,0.97,0
 96-106,0,0,0,0,0,19.2,0,5.44,0,0,0,0,4.14,0,0,0,34.4,0,3.56,0,0,1.52,0,0,0,0,0
108-118,0,0,0,0,0,15.09,0,2.03,0,0,0,0.68,4.55,0,0,0,32.02,0,1.41,0,0,0.53,0,2.32,1.53,0,0
120,0,0,0,0,0,17.57,0,0,0,0,4.13,0,20.58,1.16,10.15,0,50.24,0,0,0,0,1.1,0,0,0,0,0
