stage,axial,blastomeres,epidermis,eye,glial,neural,olfactory,spinal.cord,vasculature
  3-4,35.48,159.7,0,0,0,0,0,0,0
  5-6,0,56.58,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.73,0,0,0
 10-12,0,0,0,5.86,0,17.95,0,0,0
 14-21,0,0,0,0,0,1.44,0,0,0
 24-34,0,0,0,0,0,0.62,0,0,0
 36-46,0,0,0,0.6,0,1.88,0,0,0
 48-58,0,0,0,0.88,2.65,0.84,0,0,0
 60-70,0,0,0,0,4.83,0,0,4.53,0
 72-82,0,0,0,0,13.76,0.76,0,0,0
 84-94,0,0,0,0,7,0,1,1.33,0
 96-106,0,0,0,2.94,14.07,1.51,0,1.99,0.66
108-118,0,0,0,0,8.01,0.43,0,3.1,0
120,0,0,2.68,0,7.29,4.66,0,0,0
