stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,12.35,452.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.68,0,0,0,0,0,0
  5-6,16.02,427.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5221.75,0,0,0,0,0,0
  7-9,0,13.33,9.02,0,0,0,33.89,0,0,0,3.41,0,0,0,0,0,0,0,238.23,20.03,0,0,92.65,338.88,0,0,0,0,0,0
 10-12,0,21.49,44.65,0,0,0,47.98,0,0,0,0,0,0,0,0,0,0,0,288.48,31.72,0,0,85.51,73.08,0,22.82,0,0,0,0
 14-21,0,0,3.88,14.71,0,0,0,0,0,0,0,0,3.4,0,0,1.4,0,7.26,14.88,7.98,0,0.81,0.97,80.71,1.06,0,5.23,0,0,0
 24-34,0,0,0.7,7.6,0,0,1.59,0.92,0,1.01,0,0,4.46,0,0.71,3.63,0,1.16,30.25,0.65,0,0.67,0,147.1,0,0,4.13,0,0,0
 36-46,0,0,0,8.35,0,0,0.75,0,0,0,0,0,0.71,0,0,4.88,6.88,0,21.61,0,2.14,0,0,134.67,0,0,10.62,0,0,0
 48-58,0,0,0,1.82,0,0,11.65,0,3.9,0,0,0,0,0.5,0,10.67,0.57,0.75,13.67,0,0,0.4,0,104.78,0,0,7.79,0,0.73,1.17
 60-70,0,0,0,7.92,0,0,8.18,1.83,3.17,0,0,0,0.59,0,0,5.87,0,0,13.98,0.62,0,0,0,92.07,0,0,1.13,0.92,0,0
 72-82,0,0,0,13.91,0,0,7.02,0,0.94,0,0,2.28,0,0,0,14.32,4.08,2.83,18.4,0,0,0.56,0,62.42,0,0.97,4.12,1.49,0,0
 84-94,0,0,0,41.05,1.05,0,4.4,0.57,0,0,0,0,6.26,2.13,0,11.65,1.79,0.57,16.41,0,0,0.64,0,218.43,0,0,4.01,1.36,0,0
 96-106,0,0,0,40.94,0,0,2.21,0.91,0.57,1.26,0,0,1.92,2.46,0,8.53,1.11,0.73,24.51,0,0,0.62,0,203.99,0,0,0,1.78,0,0
108-118,0,0,0,28.32,1.18,3.17,6.08,2.65,0,1.75,0,0,1.97,1.77,0,4.36,1.84,0,20.91,0.81,0,0.58,0,145.01,0,0,0,0.44,0,0
120,0,0,0,52.23,0,0,11.87,0,0,0,0,0,9.31,0,0,0,1.05,0,20.32,0,0,24.07,0,104.45,0,0,3.82,1.53,0,0
