stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.96,21.78,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.43,0,0,17.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,3.15,10.26,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0
 24-34,0,0,1.12,1.11,0,30.32,0,0,0,1.73,0,1.45,0,0,0,0.68,0,33.15,0,0,12.05,18.71,0,0,0,0,0.93,0,0,0,3.41,0,0,0,0,0
 36-46,0,0,0,1.81,0,33.2,0,1.23,5.12,2.92,0,11.58,0,0,0,0.66,4.51,135.12,0,0,26.1,73.05,1.13,0,0,0,1.96,0,0,0,1.91,0,0,0,0,0
 48-58,0,0,0,5.27,0,56.73,0,6.55,27.25,1.88,0,28.24,0,0,0,0,0.58,246.59,0,0.6,37.18,79.57,0,0,0,0.46,1.7,0,0,0,2.45,0,0,0,0,1.36
 60-70,0,0,0,8.1,0,53.39,0,14.56,38.25,17.36,0,2.38,0,0,0,0,0,415.55,0,0,18.63,69.05,0,1.24,0,0,0,0,2.94,0,0,0,1.5,0.83,1.25,0
 72-82,0,0,0,7.6,0,69.86,2.27,29.4,76.48,10.01,0,1.41,0,0,0,0,0,430.5,0,3.58,57.48,51.16,1.04,0,0,0,0,0,0,0,3.15,0,7.58,1.32,0,0
 84-94,0,0,0,24.61,0,100.34,2.24,19.31,24.07,18.13,0,4.26,0,1,1.91,0,0,446.92,0,11.71,13.85,55.41,0,0,0,0,3.06,1.35,0,0,0,1.31,0.68,0,0,0.64
 96-106,0,0,0,13.06,0,47,0,20.46,33.78,15.67,1.44,0.92,0.64,2.77,0,7.15,0,293.44,1.24,6.55,11.05,32.82,0.57,0,0,0,5.41,0,1.28,0,0,6.73,2.53,1.04,2.34,0
108-118,0,0,0,24.77,0.57,38.81,0,18.24,44.99,5.4,0,0,0.47,1.38,0,0,0,212.97,0.94,14.01,13.12,57.69,0,0,0,1.81,1.19,0,0,0,0,5.72,0.67,1.57,0.5,0
120,0,0,0,10.51,0,26.36,0,2.45,29.99,11.02,0,17.8,0,7.56,0,3.61,0,178.49,0,0,15.56,35.63,0,5.59,0,0,0,0,0,0,10.83,7.9,0,0,0,0
