stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,16.65,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,76.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.81,0,0,0,0,0,0,0,0,0,0,24.26,4.26,0,3.23,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.86,5.29,0,14.38,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,1.09,0.61,0.69,0,0,0.66,0,0,0
 36-46,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0.93,0.73,2.24,0,0,0,0.79,2.13,1.12,0,0
 48-58,0,0,0,0,0.63,0,0,0,0,0,0,0,0,1.33,0,3.82,0,0,0,5.3,0,0,0,0
 60-70,0,0,0,0,0.62,0,0,3.4,0,0,0,0,0.72,0.71,0,4.14,0,0,0,4.95,0.62,0,0,0
 72-82,0,0,0,0,1.31,0,1.67,3.05,0,0,0,0,0,1.51,0,19.89,0,0,0,7.69,0,0,0.85,0
 84-94,0,0,0,2.29,1.5,1.02,2.51,1.47,2.33,1.03,0,0,0,1.26,0,16.61,0,0,0,6.09,0.94,0,0.98,1.76
 96-106,0,0,2.06,2.24,2.16,1.21,2.89,10.64,0,0,0,0,0,5.55,0.93,9.92,0,0,0,2.46,0,0,0,0
108-118,0,0,1.24,1.56,0,0,0,11.91,0,0,0.43,0,0,4.01,0,3.63,0,0,0,6.17,0.98,0,0,0
120,0,0,0,0,0,0,0,10.49,3.69,0,0,3.16,0,3.63,0,24.91,0,0,0,2.9,3.05,0,0,0
