stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0
  5-6,0,30.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,12.92,21.39,0,0,0,348.63,3.22,0.93,0,0,0,0
 24-34,0,0,0,1.88,0,0,0,0,0,0,0.79,0,0,0,0,0,0,1.82,0,0,23.3,0,0,0,0.74,434.11,0,2.79,0,0,0.94,0
 36-46,0,0,0,0,0,0,3.73,0,0,0,0.67,0,0,0,0,0,0,1.42,0,1.3,98.39,0,0,0.6,0.56,193.85,0,1.06,0,0,0,0
 48-58,0,0,0,0,0.86,0,5.65,0,0,0,0,0,0,1.69,0,0,0,1.3,0,0,35.76,0,0,0,0,97.36,0,2.57,0,0,0.46,0
 60-70,0.81,0,0,0.71,0,0,21.38,0,11.25,0.84,0,0,0.75,1.88,0,0,0,0.58,0,0,14.74,0,0,0,2.92,115.9,0,0,0,0,1.46,6.15
 72-82,0,0,0,0,0,0,28.94,0,0,0,2.71,0,0,0,0,0,0,1.75,0.61,0,38.92,0,1.33,0.82,3.71,64.73,0,1.16,2.98,0,1.53,0
 84-94,0,0,0,0,0.69,0,11.54,0,1.81,0,6.77,0,0,0,8.94,0,1.72,5.9,0,0,41.72,0,0,5.55,6.58,111.61,0,0,0.71,3.83,0.82,4.35
 96-106,0,0,0,3.33,16.1,0,3,0,0,0,0.68,0,0,0,0,0,0,6.6,0,3.04,68.39,0,0,0,10.04,171.37,0,0,0,0,0,0
108-118,0,0,0,3.77,0,2.44,21.54,0.49,0,0,5.21,3.55,0,0.96,0,0.61,6.67,5.25,6.65,1.04,30.18,0,0,0,3.64,118.34,0,3.55,0,0,0,1.05
120,0,0,0,0,0,0,7.19,0,0,0,18.58,0,0,0,0,0,0,9.87,0,5.52,37.24,0,0,0,13.88,69.11,0,7.14,0,0,0,0
