stage,blastomeres,epidermis,eye,glial,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,59.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,121.88,0,0,0,0,0,6.22,0,0,8.81,0,0,0,0,0
  7-9,13.22,0,0,0,0,0,80.92,0,26.93,0,0,0,0,0,0
 10-12,15.73,0,0,0,0,0,27.75,0,9.31,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.09,0,0,0,0,0.8,0.97,0,0
 24-34,0,0,0,0,0,1.4,6.3,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.76,4.79,0,0,0,0,0,0,0,0
 48-58,0,0,0.69,0,0.41,1.11,0.93,1.18,0,0,0,0,4.86,0.65,0
 60-70,0,0,1.81,0,0.8,0,5.21,0,0,0,2.82,0,1.59,0,0
 72-82,0,3.22,0,2.43,0,2.78,1.38,0,0,0,0,0,0,0,0
 84-94,0,0,2.46,1.9,0,0,0,0,0,0.8,0,0,0,0,0
 96-106,0,0,0,1.1,0,0,5.5,0,0,0,0,0,0,0,0
108-118,0,0.44,0,3.36,0,0,2.02,2.06,0,0.41,0,0,0,0,0.83
120,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0
