stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord,taste
  5-6,30.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0,5.25,0,0,0
 10-12,0,0,5.07,0,0,0,0,0,0,0,0,0,29.42,0,0,0,0,0
 14-21,0,0,0,0,0.97,0,0,0,0,0,0,0,1.67,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.66,4.38,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,5.57,10.85,0,0,0,0
 48-58,0,0,0,0,0,0.76,0,0,0,0,0,0,0,35.85,0,4,1.27,0
 60-70,0,0,0,0,0,0,0,0,0.79,0,0,0,5.9,20.12,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,5.13,0,0,0,1.24,26.42,0,0,0,1.22
 84-94,0,0,0,2.07,0,0,0,0,6.5,0,0,0.76,2.68,14.36,0,4.19,0,6.45
 96-106,0,0,0,0.7,0,5.42,0,0,6.84,0.73,7.69,0,8.38,31.8,0,0,0,7.22
108-118,0,2.35,0,0,0,0,0.52,3.31,11.24,0,0,0,0.49,12.17,0,0,0,17.1
120,0,0,0,0,2.37,0,0,0,11.11,0,0,20.69,0,55.21,0,5.64,0,29.87
