stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
 14-21,0,0,0,1.72,0,0,0,0,0,0,0,0,0,3.48,0,0,0.95,0,3.36,0,5.95,1.08
 24-34,0,0,0,0.8,0,0,0,0,0,0,0,0,0,5.37,0,0,0.62,0,0,0,1.85,0
 36-46,0,0,0,1.9,0,0,0,0,0,0.87,0,0,0,0.65,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.44,0,0,0,0,0,0,0,0.44,0,1.89,0,0,0,3.31,0,1.17,0,0
 60-70,0,0,0,1.69,4.75,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,2.99,0,0,5.31,0,0,1.03,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0
 84-94,0,0.63,0.6,1.59,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.72,0,0,0,0.57,0,0,0,0,2.2,0,0,0.59,0,0,0,0,0,0
108-118,0.53,7.14,0,6.04,0,0,1.06,0,0.45,0.54,0,0,0,1.85,0.48,1.82,0,0,0,0,0,2.03
120,3.75,0,0,0,0,0,0,0,3.99,1.76,0,0,9.75,13.41,0,1.57,0,2.99,0,0,0,0
