stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,103.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.22,94.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.53,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.51,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.17,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,6.99,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,2.94,0,0,2.7,25.84,0.99,0,0.95,0,0,71.92,1.66,1.37,1.01,9.9,0,0,0,0,0
 24-34,0,0,0,7.27,1.24,0,4.39,0,0,1.24,1.02,0,0,0,7.95,1.08,0,0,2.45,1.96,0,0.76,54.13,0,3.76,0,0,0,333.79,0.69,1.54,0,3.45,0,0,4.77,0,0
 36-46,0,0,0,7.99,0,0,7.3,0,0,1.21,0,0,0,0,15.76,10.95,0,0,1.18,0.97,0,15.26,39.94,0,3.41,0,0,0,605.6,0,0,0,8.39,0,0,2.17,0,0
 48-58,0,0,0,7.02,0,0,17.03,1.23,0,0.43,0,0,0,0,10.58,9.87,0,0,4.38,7.02,0,1.77,38.02,0,2.87,0.37,0,0,463.2,0,0,0,6.26,0,0.79,4.41,0,7.28
 60-70,0,0,0,3.96,0,0,22.95,6.86,0,9.81,0,1.71,0,0,18.32,7.26,0,0,1.06,6.37,0,0,32.65,0,1.58,0,0,0,578.04,0,0,0,6.77,0,0,0,0,0
 72-82,0,0,0,18.55,0,0,15.87,4.51,0,4.63,0,0,0,0,49.1,10.38,0,0,11.48,3.82,0.76,1.06,39.2,0,5.3,2.49,0,0,566.38,0,0,0,0,0,0,0,1.45,0
 84-94,0,0,0,23.12,0,0,20.8,2.27,0,5.04,0.96,0,0,0,53.54,8.85,0,0,5.22,7.81,0,2.45,29.23,0,5.52,1.39,0,0,1105.67,0,0,0,2.94,0,0,1.29,0,2.43
 96-106,0,0,0,80.13,0,1,33.19,20,0,10.49,6.97,0,0.71,0.95,133.22,28.55,7.71,0,24.11,23.51,1.86,1.31,78.45,0,19.24,0,0,8.37,1800.64,0,0,0,4.23,1.22,0,0.99,2.3,0
108-118,0,0,0,77.88,4.37,0,21.67,18.52,0,11.03,3.43,0,0,0,119.5,23,0,1.07,23.34,21.04,0,0,45.15,0,15.06,4,0,0,1239.09,0,0,0,1.88,4.25,0,4.7,1.7,2.01
120,0,0,0,70.02,2.99,0,9.79,16.12,14.73,5.32,1.29,0,0,0,153.28,28.58,0,0,10.97,14.81,0,5.09,102.11,0,1.48,21.62,0,0,961.31,0,0,0,0,0,0,1.23,4.69,0
