stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,15.48,0.97,0,0,0,0,1.06,4,0,0,0,0
 24-34,0,0,0,0.66,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0,0.69,0,0,0,0,0,0,1.08,0,0
 36-46,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,1.22,0,0,0,0
 48-58,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,1.64,4.27,0,0,0,7.38,0,0,0,0,0,0,3.15,0,0,0,0
 60-70,0,0,0,0,0,0,5.48,0,0,0,8.96,0,0,0,0,8.32,0,0,0,0,4.06,0,0,0,0.84,0,0,0,0,0,0,0
 72-82,0,3.03,0,0,0,0,1.92,0,0,1.08,17.36,0,0,0,23.12,0,2.54,0,0,0,18.35,0,0,0.59,0,1.85,0,4.13,0,0,0,0
 84-94,0,2.07,0,0,0,0,0.83,0,0,0,37,0,0,0,11.6,1.28,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.35,6.69,0,55.63,0.61,0,16.74,87.94,1.84,0,0,473.87,0,10.49,0,0.75,0,90.03,0,0,0,0,5.1,0,0,0.59,6.41,0,3.23
108-118,0,2.45,0,5.85,6.63,1.61,37.72,0,1.05,7.12,169.34,2.39,1.35,0.97,1077.24,0,10.57,5.21,0.97,0,79.43,0,0,0,4.16,6.59,0,3.24,0,3.39,1.83,0
120,0,0,0,8.58,7.04,0,22.38,0,0,0,302.93,4.61,0,0,808.93,1.79,15.72,0,0,0,87.79,0,0,0,0,3.7,0,0,0,3.55,0,0
