stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.41,15.76,7.4,0,49.59,0,0,0,5.64,0,1.1,0,0,0,0,0,0,29.84,0,15.65,637.43,1.65,0,2.87,6.86,0,3.41,4.78,1.1,0,7.31,55.83,0,0,0,0,0
 24-34,1.76,3.38,25.41,0.86,0,49.51,0,2,1.44,14.19,0,11.38,0,0,0,3.27,0,0,123.71,1.77,35.5,1270.57,6.76,1.36,15.26,0,0,0,0.93,0,5.21,2.02,115.04,0,0,7.77,0,2.41
 36-46,0,0,12.38,2.87,0,112.93,0,1.34,3.72,70.59,0,11.97,0,0,0,2.1,0,0,254.78,9.57,81.47,1935.66,1.83,1.58,17.05,0,0,8.56,0,0.72,2.16,0,350.28,0,0,2.31,0,5.78
 48-58,0,0,5.95,0,0,246.22,0,0.99,9.63,106.04,0,11.32,0,0,0,3.49,0,0,386.17,21.25,74.28,1556.08,0.99,0.61,22.35,0,2.38,0,0,0,1.43,0,373.98,0,2.9,2.35,2.06,18.7
 60-70,0,1.56,5.56,0,0,598.67,0,4.64,17.87,181.79,0,3.36,0.6,7.1,0,0,0,0,561.55,32.41,48.75,1974.49,0,0.72,29.56,0,2.68,3.28,0,0.71,4.06,0,352.17,0,11.15,4.86,3.24,18.42
 72-82,0,1.48,10.82,0,0,374.38,1.87,1.37,23.68,220.48,1.07,8.59,0,0,5.44,0.67,0.96,0,577.51,39.49,31.79,1656.04,0,0,24.18,0,1.4,1.5,0,0.97,0.53,0,193.68,3.19,21.72,9.03,14.71,7.45
 84-94,0,0,24.27,0.9,0,385.83,3.96,3.09,11.72,245.27,1.54,20.54,1.99,0.56,12.66,6.07,0,7.72,534.14,22.75,33.71,1286.42,0,9.25,44.19,0,3.44,4.18,0,0,0,0,185.48,5.03,10.83,36.97,25.93,17.49
 96-106,0,0.61,16.51,0,2.87,263.45,5.33,1.59,14.22,198.38,2.1,9.91,1,0,9.54,4.36,0,3.09,425.94,23.79,36.43,1103.73,1.22,11.59,49.66,0,1.66,9.03,0,1.35,0,0,74.92,9.48,19.73,12.93,44.37,28.67
108-118,0,0.58,9.33,3.17,0,403.66,2.05,1.8,14.45,227.48,1.75,4.2,0.59,0.99,49.31,1.78,0,3.6,471.81,34.83,40.67,1186.8,0.59,4.11,57.38,0,6.53,1.54,0,3.93,0,0,98.12,6.91,4.73,23.48,44.12,27.53
120,0,0,13.12,0,0,388.25,0,8.43,5.04,251.71,2.35,0,9.8,0,9.41,1.34,8.32,0,398.1,51.43,24.07,1534.75,0,3.25,36.51,0,16.5,18.97,0,0,1.21,0,67.23,0,1.46,2.73,118.05,12.09
