stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,90.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.3,0,5.73,0,0,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.12,50.88,0,0,27.65,0,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,0,34.93,0.98,0,69.33,0,5.85,0,19.24,2.61,0,0,0,0,0,3.97,0,0.85,5.04,0,0,0,944.67,667.34,0,0.95,0,0,3.55,9.53,0,2.22,349.56,0,0,0,0,0
 24-34,0,0.83,0.96,1.34,107.21,2.09,0,76.8,0,28.99,1.7,160.57,10.34,0,5.52,0,0,0,37.41,0.79,0,43.87,1.72,0,6.77,1240.6,240.31,12.08,7.61,0,0.99,6.03,15.94,0.64,1.3,595.94,0,0,0,0,0
 36-46,0,0,0.69,0,102.89,0,0,71.47,0,95.49,0,412.38,8.44,0,15.98,0,0,0,54.36,1.5,0,83.71,3.74,11.04,4.61,1311.84,169.66,10.7,21.54,0,0.77,30.54,7.6,15.28,0,614.86,0,0,4.9,0,3.23
 48-58,0,0,0,1.31,172.06,1.8,0,188.22,0.72,157.06,3.78,706.21,10.71,0.49,21.91,7.67,0.38,0,48.56,0,0,117.07,1.33,8.96,13.51,1433.07,157.35,17.43,33.79,0,2.58,96.7,16.26,12.97,0,501.66,0,0,1.31,0,0
 60-70,0,0,0,0,129.78,2.71,0,196.01,2.46,162.58,0,727.37,10.23,0,8.06,1.08,1.85,0,47.54,0,0,117.46,3.67,6.18,2.62,1265.82,74.28,9.33,57.25,0,1.26,140.81,22.16,4.48,0,293.02,0,0,0,0,0
 72-82,0,0,5.53,3.31,58.75,8.92,0,168.61,10.25,185.77,1.61,688,8.99,0,8.54,0,7.68,0,66.49,0,0,181.51,0.71,2.96,1.04,1200.92,20.32,4.16,100.58,0,0,75.7,7.89,4.31,0,137.77,0.53,0.76,3.99,0.56,27.3
 84-94,0,0,0,0,125.45,7.88,0,246.75,7.72,284.88,0,494.64,15.24,0,9.56,1.92,1.62,0,40.09,0,6.29,162.13,0,15.39,2.28,873.37,42.89,9.86,99.34,0,7.92,114.59,15.49,3.33,0,118.65,2.63,1.27,9.32,0.75,0
 96-106,0,0,0,0,107.49,62.4,9.83,218.42,11.22,285.5,1.65,445.26,13.82,0,19.7,0,2.4,1.14,79.33,26.42,0,137.07,1.26,5.95,7.8,573.14,20.68,4.85,112.83,0,1.6,36.01,6.21,5.38,0,62.77,3.06,4.04,3.19,4.01,0
108-118,0,0,0.43,0,129.09,12.79,2.27,217.77,5.49,443.67,5.63,453.07,4.22,0,3.93,0.42,5.66,0,47.12,3.15,0,213.13,0,7.46,2.14,765.31,14.08,1.82,134.54,0,3.97,10.18,9.53,2.65,0,50.07,0.54,0,9.73,0,4.27
120,1.19,0,0,0,97.03,22.74,0,142.8,28.55,250.99,0,482.62,8.46,0,9.23,1.01,16.04,0,25.98,0,0,223.48,2.26,23.15,3.39,1002.71,12.4,4.57,156.45,0,11.51,5.45,9.84,2.33,0,19.55,0,3.8,13.26,15.92,2.34
