stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,180.23,3342.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.53,0,0,0,0,0,0,0,0,0,0
  5-6,150.96,4514.33,0,27.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.7,0,0,0,24.25,0,61.04,0,0,0,0,0,0,0,0,0,0
  7-9,66.22,118.72,0,138.82,0,0,0,350.4,0,0,0,0,0,95.13,0,0,0,0,0,0,0,0,0,0,0,2553.24,99.7,0,0,844.63,0,0,16.94,0,9.82,0,0,0,0,0,0,0
 10-12,7.59,48.9,0,170.15,0,37.16,0,138.73,0,0,0,0,0,56.25,0,0,0,0,0,0,0,0,0,0,0,1569.69,399.94,0,0,821.13,0,0,6.56,9.31,98.79,0,25.53,16.22,0,0,0,0
 14-21,0,0,0.8,1.33,122.54,17.2,0,18.84,0,1.82,0,27.3,4.15,6.61,4.61,0,0,0,0,0,0,45.98,0,0,58.35,336.54,232.62,0,5.83,17.51,0,8.84,2.3,72.37,14.57,11.66,75.63,286.02,0,0,0,0
 24-34,0,0,0,2.45,23.41,0.66,0,39.35,0,8.35,5.27,35.85,1.32,0,0.69,0,0,0,1.71,0.86,0,99.25,1.93,0,52.31,538.32,62.08,3.53,3.61,0,0,9.37,0,0,2.15,0,18.41,172.22,0,4.76,0,0
 36-46,0,0,0,0.56,23.76,0,0,76.9,0.68,7.01,19.46,62.72,0,0,1.89,1.53,0,0,0,0.66,6.08,154.35,0,3.41,65.91,688.17,25.64,5.2,3.2,0,0,7.85,0,0,0.73,0.81,0,179.93,0,2.37,0,1.43
 48-58,0,0,0,0,17.16,0,0,184.84,0,3.48,11.55,103.23,0,0,3.06,2.44,0,4.19,1.5,0,2.17,229.52,0,5,37.36,815.54,19.31,2.16,8.5,0,0.39,11.01,0,0,1,0,0,152.99,1.12,16.13,0,2.16
 60-70,0,0,0,0,13.6,0,0,253.56,0.6,17.05,8.15,102.86,3.47,0,0,0.78,0,2.01,0.88,1.2,0,346.82,1.83,19.31,17.94,688.26,16.16,2.18,5.99,0,0.82,3.95,0,0,1.27,0,0,87.64,6.9,3.23,0.59,7.44
 72-82,0,0,2.29,0,9.7,2.14,0,134.02,0,4.53,14.95,64.6,1.05,0,1.61,0.54,4.39,0,0.61,0,0,218.13,0.66,9.32,15.26,444.48,10.7,4.71,7.32,0,0,5.89,0,0,0.64,0,0,29.76,3.18,12.19,8.55,0
 84-94,0,0,0,0,15.61,0.85,0.87,132.15,0,1.28,4.01,46.8,1.57,0,0,4.38,0.83,1.33,0,0,2.42,227.5,0,6.75,12.52,238.11,3.89,1.5,6.49,0,0,9.94,0,0,0.74,0,0,25.15,6.11,11.27,2.28,0.66
 96-106,0,0,0,0,11.09,8.48,2.06,72.59,0,2.92,10.6,75.85,2.34,0,1.59,0,0.63,0,0.65,10.68,0,149.02,1.38,3.84,10.24,225.92,13.03,2.06,10.25,0,8.69,6.42,0,0,0,0,0,30.12,3.61,14.34,12.03,12.19
108-118,0,0,2.49,0,6.81,0,8.22,62.63,1.09,12.89,2.99,33.46,1.66,0,0.69,2.01,2.16,1.58,0,2.57,0,115.75,0.59,2.54,4.53,215.31,1.47,1.77,6.35,0,2.8,1.47,0,0,1.86,0,0,7.96,1.82,7.45,9.07,2.92
120,0,0,4.32,0,20.75,0,0,93.26,1.61,1.31,2.28,43.33,6.94,0,4.29,5.23,0,0,1.74,10.68,0,127.64,0,4.29,14.88,220.62,4.99,8.69,0,0,0,2.95,0,0,0,0,0,11.77,1.66,22.06,5.15,2.34
