stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.22,0,0,0.81,0,0,1.02,0,0,2.07,0,0,0,2.32,0,0,0,4.91,0.83,0,0,0,0.96,0,0,1.17,1.35,0,0,0,0
 24-34,0,0.75,0,0,0.64,0,0,3.29,0,0,22.62,0,2.87,4.42,1.61,0,0,0,12.5,0,0,0.68,0.73,0,0,0,0.72,5.7,0,0.78,0,1.55
 36-46,0,0,2.42,0,1.8,0,0.61,0,0,0.69,48.31,0,29.44,5.95,11.21,0,0,0,14.55,0,0,0,15.27,0,3.56,6.65,0,23.73,0,6.52,0,0
 48-58,0,0,2.44,0,9.86,0,0,0.87,0,0,30.47,0,31.59,14.03,0.9,0,0,0.47,14.93,0,0,0,0,0,0,0,0,5.51,0,0.43,0,0
 60-70,0,0,5.96,0,9.07,1.79,0,1.52,0,0,78.42,0,68.47,48.77,3.01,0,0,0,4.99,0.66,0.84,0.91,0.73,0,0,0,0,7.05,0,0,0,3
 72-82,0,0.71,80.29,0,24.35,0.6,0.62,0,0.51,0,23.2,0,54.76,43.04,10.82,0.74,0,0,26.98,0,0,2.17,1.21,0,0,0,0,0.79,0.56,1.77,0,0
 84-94,0,6.29,97.63,0,16.48,0,0,1.84,0.63,0,56.98,0,142.41,66.05,7.28,0,0,12.28,35.46,0,4.25,3.01,0,0,0,0,0,0,0,0,0,0.88
 96-106,0,1.69,109.78,0,40.62,0.68,0,0.72,0,0,37.37,0,122.25,105.31,7.54,0,0,1.41,13.8,2.36,0,3.04,0.8,0,1.09,0,0,2.53,0,3.21,0.61,0
108-118,0,1.7,62.04,0.5,1.23,0,0,0,1.22,0,26.69,0,219.7,66.18,6.29,3.93,0.51,0,8.87,0,0,9.88,3.07,0,0.42,0,0,0,0,1.02,0,0.79
120,0,16.75,53.17,0,28.79,0,0,0,0,0,89.51,2.56,128.32,57.86,0,0,0,0,6.6,1.66,0,14.1,2.29,0,0,0,0,0,0,0,0,0
