stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,43.79,1345.72,0,0,0,0,0,0,0,0,0,0,87.97,0,0,0,0,0,0
  5-6,44.56,834.16,0,0,0,0,0,0,43.59,7.94,16.02,0,30.72,0,0,0,0,0,0
  7-9,23.4,4.99,4.44,0,0,34.35,17.94,0,257.95,7.69,76.52,0,0,4.57,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,48.09,0,17.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.36,0.81,0,0,0,10.16,0,0,0,7.05,4.94,1.05,1.27,1.96,0,0
 24-34,0,0,1.99,0,0,0,0,1.49,0.87,0,0,0,8.13,0,0,0,0,2.03,0
 36-46,0,0,0,0,0,0,0,0,0.69,0,0,0,8.11,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.66,0,0.96,1.43,0,0,0,1.25,1.07,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.31,0.99,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,0,0,0.68,4.54,0,0,0,1.23,1.76,0,0,0,0,0
108-118,0,0,0,0,0,2.98,0,0,0,0,0,0,14.76,0.79,0,0,0,0,0.86
120,0,0,0,0,0,1.31,0,0,0,0,0,0,5.18,0,0,0,0,0,0
