stage,axial,blastomeres,endoderm,epidermis,erythrocytes,glial,hatching.gland,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,11.32,56.81,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0
  5-6,14.82,186.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.35,0,3.6,0,0,0,0,0,0,0,16.54,0,10.04,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.58,0,0,0,28.43,0,15.03,0,0,0,0,0
 14-21,0,0,1.66,9.63,2.24,3.23,0,0.89,4.55,5.03,3.12,1.07,4.22,0,2.23,0,9.25,1.01
 24-34,0,0,0,0,0,0,0,0,1.72,7.8,1.8,0,0,0,0,1.1,3.76,3.61
 36-46,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,2.3
 48-58,0,0,0,0,0,1.25,0,0,0,0,2.86,0,0,0,0,0,0,1.77
 72-82,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0
 96-106,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.51,0,0,0,0.49,0,0,0,0,0,0,0,0,0
