stage,blastomeres,epidermis,erythrocytes,fin.epithelia,gut,lateral.line,mucous,neural,otic,periderm,spinal.cord
  5-6,77.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.36,0,0
 24-34,0,0.63,0,0,0,0,0.96,3.61,0,0,0
 36-46,0,0,0,0,0,0,3.88,55.48,0,0,0
 48-58,0,0,0,0,0,0,18.54,8.97,0,0,0.8
 60-70,0,0,0,1.31,0,0,8.49,0,0,5.23,0
 72-82,0,1.16,0,0,4.74,0,9.9,9.22,0,0,0
 84-94,0,0,0,0,0,0,18.36,25.76,0,0,0
 96-106,0,4.53,0,0,5.93,0.9,19.2,8.75,0,0,0
108-118,0,0.55,0.92,0,6.95,0,9.18,1.33,0,0,0
120,0,10.22,7.04,0,5.14,0,1.72,2.87,0,0,0
