stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,44.07,875.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.46,0,0,0,0,0,0,0,0
  5-6,8.67,156.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.64,0,0,0,0,0,0,0,0
  7-9,3.96,0,0,0,0,0,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.57,23.31,0,0,0,6.22,0,0,0,0,0,0,0,0
 14-21,0,0,1.89,40.57,0.98,0,1.03,0,0,13.41,0,0,0,0.9,0,0,0,0,0,0,0.8,15.18,0,0,0.94,0,0,0,0,0.85,27.23,0,0,0,0
 24-34,0,0,2.6,44.61,0,0,3.62,0,2.86,24.95,3.46,0,0,3.78,0,0,0,5.2,4.18,0,1.36,27.78,0,4.63,0,0,25.05,4.13,0,0,83.55,0,0,0,0
 36-46,0,0,0,31.1,0,0,7.31,0,12.99,10.09,0,0,0,13.33,0,1.78,0,3,2.58,0,0,45.66,0,0.63,0,0,46.8,0,5.4,0,78.89,0,0,0,0
 48-58,0,0,0,57.88,0,0,2.62,0,7.89,11.18,1.42,0,0,13.78,2.58,0,2.5,0.86,18.59,0.44,0,31.06,0,2.7,0,0,33.25,0.77,0,0,45.2,0,0,0,0
 60-70,0,0,0,57.34,0,0,2.2,0,12.68,5.91,3.31,0,0,12.19,0,0.61,4.22,2.16,20.49,0,0,34.73,0,4.08,0,0,35.12,0,0,0,2.93,0,0,0,0.87
 72-82,0,0,0,46.15,0,0,8.83,0,0.68,13.75,9.25,0.66,0.91,0,0,1.45,0,1.62,7.74,2.98,0,47.4,0,2.1,2.11,1.97,25.15,0,0,0,4.27,0.59,0.52,0.56,0.53
 84-94,0,0,0,65.58,0,0,4.32,0,19.02,3.29,14.76,3.14,2.9,4.32,0.62,3.06,2.99,1.79,20.17,2.21,0,38.96,0,7.09,3.1,0,59.21,0.64,0,0,6.61,3.17,0,0.83,0.77
 96-106,0,0,0,58.05,0,1.07,15.8,0,34.13,7.11,23.6,0,0.87,5.18,0,7.51,0.93,8.06,28.79,0,0,37.85,0,12.15,6.56,0,89.95,1.5,0,0,0.67,0.83,0,0,7.71
108-118,0,0,0.74,82.58,0,0,3.62,1.25,18.83,11.33,24.05,0,0.58,3.14,0,1.36,0.65,7.76,12.21,0,0,59.22,0,5.86,1.01,0,62.59,0.51,0,0,3.29,1.22,0,0.49,16.47
120,0,0,0,79.89,0,0,2.21,0,20.95,0,78.13,5.68,0,3.6,0,5.18,0,11.31,8.2,0,0,38.89,0,11.08,0,0,66.99,1.02,0,0,10.07,0,0,0,13.95
