stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,55.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,35.06,0,0,0,0,0,0,5.61,0,0,0,0
 14-21,0,0.89,0.99,2.11,0,3.16,0,0,0.97,0,0,0,0,0,0,2.73,0,6.02,4.43,0,0,0,1.57,0.89,1.72,5.1,3.84,0,0,0
 24-34,0,0,1.46,0,0,1.78,0,0,2.4,0,0.67,0,0,0,0,8.46,0,1.91,23.97,0,0,0,0,0,0,1.31,1.44,0,5.87,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0.82,30.27,0,0.58,0,0,0,0,0,2.58,0,0,0
 48-58,0,0,3.38,0,0,2.09,0.38,0.89,0.84,0,0,0,7.83,0,0,7.26,1.12,0.39,14.81,0,0.67,0.65,0,0.74,0,0,5.59,0,6.24,0
 60-70,0,0,0.6,0,0,2.29,0,0,0,0.64,0,0,0,0,0.71,15.58,0,1.68,16.8,0,2.75,4.29,0,0,0,0,1.72,0.69,0,0
 72-82,0,0,1.29,0,0,5.13,0,0,2.45,0,0,0.55,0,0.63,0,5.37,0,0,12,1.39,0,0,0,0,0,0,3.07,0,1.64,0
 84-94,0,0,0,0,0,0,0,0,0,1.73,0,0.68,0,0,0,4.83,0.7,0,0.68,0,3.11,0,0,0,0,0,0,0,0,1.23
 96-106,0,0,0,2.47,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0.7,0,0,0,0,0,0,0.63,0,0.71,0
108-118,0,0,0.95,0,4.57,5.42,0,0,0,0,0,1.62,0,0,0,1.32,0,0,6.16,0,0,0,0,0,0,0,0,0.99,0.53,0
120,0,0,2.48,0,0,0,0,0,42.58,1.46,0,6.66,1.17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6.32,0
