stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,immune,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,12.67,0,0,0,0,0,12.36,0,0,0,0
 10-12,0,0,19.51,0,0,0,0,0,0,0,12.48,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0
 48-58,0,0,0,2.8,0,0,0,0,0,0.54,0,0,8.11,0.85,0,1.18
 60-70,0,0,0,0,0,0,0,0,1.11,0,0,0,4.5,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.03,0,6.76,0,0.57,0,0,0
 84-94,0,0,0,0,0.97,0,0,0,0,0,0.56,0,2.4,0,0.98,0
 96-106,0,0,0,0,0,0,0.79,0.85,0,0,0,0,0.9,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0
120,0,0,0,3.45,0,0,0,0,11.9,0,0,0,2.32,0,0,0
