stage,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,3.89,0,0,0,0
 24-34,0.72,2.28,0,1.7,0,0,9.52,0,0,0,0,0,0
 36-46,0,0,0,0.83,0,2.66,0,0.87,0,0,0,0,0
 48-58,0.83,0.59,0,6.17,0.54,0,0,0,0,0,0.85,0,0
 60-70,1.01,0,0,6.02,0.85,0,1.42,0,0,0,1.27,0,0
 72-82,0,0,0,11.84,0,0,1.53,0,0,0,2.8,0.96,0.74
 84-94,0,0,1.45,10.82,1.77,2.32,4.79,0,0,1.75,0,4.59,0
 96-106,1.54,0,0,5.42,0,0,1.98,0,0,0,0,1.19,3.72
108-118,1.26,0,0,9.49,0,0,6.9,0,0,1.05,0,2.56,0
120,0,4.35,0,22.06,2.13,0,0,0,0,0,0,0,0
