stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,104.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,35.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.32,0,0,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,5.77,0,0,27.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.11,0,10.87,0,0,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9,0,0,0,47.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.93,1.09,6.33,51.9,39.8,51.97,0,0,0,6.31,2.91,3.48,1.07,8.39,1.03,0,0.84,0,0,56.38,0,44.82,566.51,3.98,3.48,2.15,12.74,0,8.97,0,62.92,3.26,46.26,188,0,0,5.31,0
 24-34,0,0,0,0.76,7.72,4.55,107,0,0,0.69,16.86,0.67,0,0.98,16.24,0,1.05,0.75,1.33,0,79.33,0,18.99,674.9,0,1.96,3.36,0,0,30.18,0,0,0,5.99,145.97,0,0,16.9,0
 36-46,0,0,0,0.56,17.48,9.25,294.31,0,0,8.8,27.23,0,0,1.73,12.16,0,1.96,0.7,0,0,122.63,6.56,16.63,572.32,0.55,0,0,0,0,5.55,0,0,0.65,0,122.76,0,0,15.35,0
 48-58,0,0,0,0,7.79,3.46,545.02,0.8,0,10.64,41.87,1.15,0,3.28,15.24,0,4.25,0,0,0.64,91.79,6.24,14.95,431.92,0,0.87,2.49,0,0,11.68,0,0,0,0,59.83,0,0,12.88,0
 60-70,0,0,0,0,15.28,4.21,500.8,0,0,9.4,21.39,0.64,0,0,3.69,0,0.58,0.72,4.99,9.95,127.92,6.29,15.2,289.06,0,0,2.91,0,0.66,2.54,0,0,0,0,15.47,0,0.57,10.16,0
 72-82,0,0,0,0,4.45,0.58,135.9,0,0,4.78,20.33,6.29,0,6.89,8.9,0,0,0,0.59,0,74.97,4.54,8.77,153.89,0,0,0,0,0,0,0,0,0,0,6.42,0,1.56,9.71,2.26
 84-94,0,0,0,0,12.08,1.85,103.12,0.67,0,1.01,18.61,2.05,0,9.53,6.54,0.59,2.11,0,0,0,48.14,17.14,12.66,85.41,0.73,7.53,2.64,0,0,3.25,0,0,0,0,8.12,1.14,1.05,14.14,0
 96-106,0,0,0,0,2.1,0,48.61,0,5.93,3.14,10.11,3.77,0,0,9.6,0,0.58,0,0,0,55.44,1.37,0.62,77.36,2.15,0,4.47,0,0,1.21,0,0,0,0,1.31,0,0,12.81,0
108-118,0,0,0,0,6.91,1.4,73.56,0,0,2.61,21.23,0.64,0,1.26,23.71,0,3.02,2.78,4.99,0,57.41,0,4.04,107.84,2.49,1.42,2.24,0,0,0,0,0,0,0,0.95,0.45,1.42,8.96,0
120,0,0,0,0,5.33,0,70.63,0,0,0,81.71,1.96,0,7.93,14.36,0,0,1.12,1.37,0,36.9,0,16.93,81.75,0,0,0,0,0,0,2.5,0,0,0,0,0,0,15.36,0
