stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.38,429.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,6.86,168.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.3,0,5.34,0,0,16.83,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,83.49,0,0,0,32.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.71,0,14.91,0,0,4.26,0,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,55.97,3.96,0,0,29.49,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.54,0,1.01,0,0,0.88,0,0,0,0,0,0,0,0,2.84,0,0,2.84,29.73,1.08,0,1.65,0.86,0,2.64,2.87,1.46,1.78,5.9,12.99,0,0,0
 24-34,0,0,0.67,0,1.38,0,2.59,0,0,2.45,0,0,0,0,0.72,0,1.68,0,5.35,0,0,0.74,47.98,0,0,0.62,0,0,1.58,0,0,0,1.4,15.94,3.1,0,0
 36-46,0,0,0,0,1.24,0,11.02,0,0,5.32,0,0,0,0,0,0,0,0,2.93,0,0,1.35,79.17,0,0,0,0,0,2.73,0,0,0,0,6.24,0,0,0
 48-58,0,0,0,0,1.34,0,17.56,0,0,1.43,0,0,0.47,0,0,0,0,0,2.54,0,0.74,0.54,54.22,0,0,0,0,0,3.09,0,0,0,0,3.02,1.49,0,3.95
 60-70,0,0,0,0,1.99,0,22,0,0,4.44,0,0,0,0,0,0,0,0,18.75,0,0,0.99,57.63,0,1.51,0,0,0,2.35,0,3.95,0,0,5.18,0,0,0
 72-82,0,0,0,0,0,3.73,33.65,1.37,0,3.46,0,0,0,0,1.56,0.82,0,0.64,19.5,1.13,0,0.52,31.02,0,2.39,0.79,0,0,3.55,0,0,0,0,1.87,0,0,0
 84-94,0,0,1.04,0,6.77,0,9.77,0.69,0.57,4.46,0,0,0,0,0,0,0,0,4.54,0,4.05,0.79,32.02,0,0,0,0,0,8.85,0,0,0,0,2.12,4.86,5.55,0
 96-106,0,0,0,1.03,1.02,3.53,31.75,0,0,0.72,2.9,0,0,0.69,0.94,0,1.25,1.7,12.65,0,0,0,24.02,0.58,2.47,0,0,0,5.67,0,1.71,0,0,5.43,4.88,0,0
108-118,0,0,0,0,2.34,0,14.16,0.45,0,1.87,0.67,0,0,0,0,1.41,0,0,10.21,2.35,0,0.53,53.92,0.41,0,0.43,0,2.29,1.76,0,0.54,0,0,0.48,2.45,1.93,0
120,0,0,0,0,10.6,1.1,17.31,0,0,0,2,0,0,0,0,10.67,0,12.56,3.73,0,0,2.55,26.73,0,0,0,0,0,4.45,0,1.38,0,0,0,4.95,0,0
