stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.16,0,0,4.18,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0
 36-46,0,0,18.11,0,0,2.3,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0
 48-58,0,0,109.24,0,0,0,0,0,0,0,0,0,0,2.35,0,10.52,0,0,0,1.56,0,0
 60-70,0,0,359.67,0,0,0,0,0,0.65,0,0,0,0,0.77,0,6.44,0,0,0,0.7,0,0
 72-82,0,0,580.86,2.77,0,2.99,0,0,0,0,0,0,0,0.69,0,30.6,0,0,0,7.03,0,0
 84-94,0,0,478.78,0.69,0.91,9.32,0,1.81,0,0,0,0,0.57,11.72,0,22.57,0,0,0,0.64,1.56,0
 96-106,5.01,1.27,953.34,0.86,0.58,8.12,0,0,0,0.87,0,0,21.37,0.79,0,20.68,0,1,0,3.8,0,0
108-118,4.26,0,769.4,0,0,2.27,2.14,0,0,0,0,0,0,6.28,0,39.35,0,0,0,0,2.71,0.59
120,0,14.99,648.13,0,0,3.18,0,0,6.76,0,8.53,8.05,0,0,1.66,28.18,11.74,2,0,0,0,17.87
