stage,axial,blastomeres,endoderm,neural,notochord,paraxial.mesoderm,periderm,pgc
  3-4,18.39,121.03,0,0,0,0,10.11,0
  5-6,7.12,77.77,0,0,0,0,0,0
  7-9,0,0,3.28,38.3,8.35,16.04,0,6.94
 10-12,0,6.49,0,28.34,0,6.74,0,0
