stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,129.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,0,0,5.92,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,3.84,0,0,4.55,0,3.31,0,0,0,0,0,0,0
 10-12,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.62,0,0,0,49.42,0,0,0,7.7,0,0,0,0,0
 14-21,0,0,0,0.95,4.22,0,0,2.09,0,0,1.21,0,0,0,0,0,0,3.11,0,0,0.82,4.49,0.86,0,0,0,0,0,0.91,1.28,4.79,0,0,0.83,0
 24-34,0,0,0,0,1.4,0,0,4.18,0,0,1.68,0,0,0,0.69,0,0,2.07,0,0,2.47,41.7,0,0,0,0,0,1.58,0,1.38,9.9,0,0,0,2.54
 36-46,0,0,0,0,0,0,0,6.99,0,0,0.8,0,0,0,0,0,0,3.85,0,0,0.73,8.43,0,0,0,0,0,0,0,0,5.67,0,0,2.32,0
 48-58,0,0,0,0,1.57,0,0,17.3,0.74,0,1.04,0,0,0,0,0,0,6.01,0,0,1.17,26.4,0,1.48,0,0,0,3.1,0,0,4.04,0,0,2.53,0
 60-70,0,0,0,0,6.11,0,0,24.14,0,0.64,14.3,0,0.75,3.24,0,0,0,9.92,0,1.19,0,26.32,0,0,0.77,0,1.19,1.51,0,0,2.56,0,0,0,0
 72-82,0,0,0,0,1.5,0,0,24.73,0,0,1.25,0.88,0,0,0,0,0,14.3,0.57,0,1.98,19.74,0,1.09,0,0,0,0.83,0,0,4.69,1.42,0,2.13,0
 84-94,0,0,0.6,0,3.08,0,0,7.58,0,0,4.64,0.6,0.7,0,0,1.28,1.35,7.18,0,0,0,5.08,0,0,0,0,0,0.59,0,0,0,0,0,2.35,0
 96-106,0,0,0,0,3.76,2.06,0,19.19,0,1.52,0.78,1.56,0,0.65,0,0,0,9.11,0,0,1.92,10.33,2.3,0,0.85,0,0,0.58,0,0,7.47,0,0.76,1.24,0
108-118,0,0,0,0,1.23,0,0,10.98,0,0,3.8,0,0,1.17,1.18,0,0,6.22,0,1.29,0.67,17.55,0,0,0.43,0,0,1.13,0,0,0,0,0,6.31,0
120,0,0,0,0,0,0,5.29,8.95,0,0,1.43,1.24,0,0,0,0,0,20.92,0,0,1.27,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0
