stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.52,0,0,0,0,0,0,0,0,0,0,0,0,0,26.93,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.6,0,5.18,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,0,4.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.98,0,35.31,0,0,0,0,0,0,2.82,15.55,0,0,0.88,1.73,1.89,2.01,9.82,0,71.12,0,0,0,0
 24-34,0,0,0,4.76,0,0,43.96,0,0,0,1.8,3.47,0,0,27.28,0,5.63,0.98,0,1.05,0,5.91,1.27,58.8,0,0,2.37,0
 36-46,0,0,0,0,0,2.4,29.62,0,0,0,0,0,0,0,58.56,0.63,13.75,0,0,0,0,5.49,0,57.92,0,0,0,0
 48-58,0,0,0,5.31,0,16.16,36.6,0,0,0,0,3.45,0,0.86,23.84,0,13.64,0.72,0,0,0,0.37,0,45.22,0,0,0,0
 60-70,0,0,0,4.14,0,15.24,28.92,0,0,0,2.21,3.82,0,0,26.96,0,5.31,0,0,0,0,3.18,0,23.32,0,0,1.05,0
 72-82,0,0.56,0,0.52,0,9.01,54.56,1.13,0,0,0.58,2.38,0.55,0.85,34.44,0,35.61,3.09,0,0,0,0.57,0,17.67,0,0,0,0.69
 84-94,0,0,0,0,0,11.97,33.46,0,0,0,0.65,4.6,0,0,12.65,0,15.78,14.62,0,0,0,2.53,0,20.33,2.89,0,0,0
 96-106,0,1.57,0,4.92,0,15.57,20.18,1.01,0.67,0,2.89,2.95,0,0,39.19,0,15.17,14.82,0,0,0,2.74,0,6.65,0,0,0,0
108-118,0,0.71,0,0.84,0,6.21,40.6,0,0.52,0,1.17,0,0.83,0,24.96,0,21.97,15.1,0,0,0,1.52,0,4.08,0,0,1.32,0
120,0,3.9,3.17,0,0,0,25.39,0,0,2.11,4.55,1.28,0,0,61.44,0,35.41,31.51,0,0,0,11.49,0,4.48,0,1.52,0,0
