stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.71,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.3,141.48,0,0,1.28,0,0,0,0,0,0.89,0,0.92,0,0,0,0,6.76,0,0,6.1,17.1,0,2.02,0,0,0,0,0,7.15,0,0,0,0,0.95
 24-34,0,0,4.04,163.87,0,0,5.4,0,1.72,0,25.18,0,11.27,3.83,0,0,3.6,0,0,56.05,0.67,0,14.11,84.48,0,2.03,6.86,2.91,2.72,0.93,0,20.47,0,0,7.77,0,11.54
 36-46,0,0,1.47,103.29,5.85,0,14.83,0,11.23,0,55.67,0,12.37,0,0,0.72,0.95,0,0,174.99,0,3.72,16.18,196.34,0,6.57,12.1,0,1.05,0.6,0,19.85,0,2.46,8.81,0,68.9
 48-58,0,0,0,148.98,0.65,0,45.29,0,18.96,8.09,76.38,0,1.7,0,0,2.8,4.03,0,0,354.32,0.38,2.02,64.9,248.03,0,5.68,17.96,0.47,5.4,0,0,23.59,0,0.99,5.12,0,22.27
 60-70,0,0,0,199.87,0,0,151.42,1.22,43.57,1.95,136.32,0,0.7,1.27,2.16,40.43,10.01,0,1.66,524.57,0,5.98,35.75,358.34,0,4.69,26.98,0.71,10.26,0,0,38.42,0,5.93,10.95,1.06,37.52
 72-82,0,0,2.22,192.87,0,0,319.75,0,40.53,6.54,257.77,1.51,11.66,0.59,3.32,34.51,17.58,0,4.19,953.99,2.36,16.46,51.35,550.24,1.67,11.95,25.73,1.08,3.01,0,0,30.44,0,17.7,15.61,7.79,37.38
 84-94,0,0,1.58,359.97,0,0,238.31,0.65,53.7,4.71,148.61,0.59,3.91,0.55,12.56,9.98,14.64,2.58,4.2,698.19,3.49,15.12,44.04,319.76,0,6.38,24.95,9.06,11.91,0,0,13.46,0,9.56,32.12,16.12,60.38
 96-106,0,0,2.07,299.78,0,1.09,228.01,4.06,38.32,2.33,201.22,1.19,18.15,1.75,14.14,2.41,6.71,0,0,654.77,4.32,21.92,45.17,326.61,0,16.55,28.66,3.05,15.82,0,7.97,26.08,0,10.08,13.32,15.2,42.7
108-118,0,0,0.54,248.03,1.98,2.84,279.69,2.98,38.06,6.12,251.79,0.45,0,0,17.89,4.83,10.49,0.56,0,688.56,3.46,19.97,38.92,363.2,0,12.94,38.96,7.28,2.27,0,0,12,0.52,9.08,16.87,14.9,38.86
120,0,0,0,230.49,6.6,0,149.31,0,45.35,0,281.29,1.14,5.94,1.01,15.9,2.23,3.51,0,0,536.24,3.96,18.04,28.24,502.98,0,12.14,20.75,0,5.62,0,0,1.7,0,8.03,35.16,23.81,6.74
