stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,83.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.97,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.17,0,4.55,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,7.28,0,0,0,0
 14-21,0,0,0,0,1.76,0,0,0,0,0,4.73,0,0,0,0.86,1.77,0,0,0,0
 24-34,0,0,0,0,2.76,0,0,0,0,0,3.43,0,0,0,0,0,1.31,1.32,0,2.6
 36-46,0,0,0,0,1.24,0,0,0,0,0,2.44,0,0,0,0,0,0.81,0,0,13.97
 48-58,0,0,0,0,0.95,0,0,0,0.45,0.57,1.79,0.65,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.5,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.65,0,0,0,0.69,0,0,0,4.4,0.93,0,0,0,0,0,0,0,0
108-118,0,0,0.48,0,16.05,0,0,0.48,0,0,3.56,0,0,0.45,0,0,0,0,2.27,0
120,0,0,0,0,0,2.83,0,0,2.57,0,4.77,0,0,0,0,0,0,0,0,0
