stage,glial,neural,olfactory
 36-46,0,0,26.72
 48-58,0,0,9.56
 60-70,0,0,11.93
 72-82,0,0.92,72.13
 84-94,0,0,1.02
 96-106,1.94,0,47.1
108-118,0,0,38.78
120,0,0,37.2
