stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,24.51,0,0,0,0,0,0,0
  5-6,6.16,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.81,0
 10-12,0,0,0,0,0,8.28,0,0
 14-21,0,0,0,2.26,0,3.96,0,2.9
 24-34,0,0,0,2.26,0,18.48,0,3.21
 36-46,0,0,0,0,0,19.99,0,2.49
 48-58,0,0,2.88,1.37,0.76,21.06,0,0.97
 60-70,0,4.27,2.88,8.81,0,15.72,0,0
 72-82,0,0,15.13,7.32,0,11.68,0,3.03
 84-94,0,0,0,1.67,0,0.62,0,1
 96-106,0,0,0,1.7,0,2.47,0,0
108-118,0,0,3.93,8.22,0,16.65,0,0
120,0,0,23.8,0,0,6.09,0,0
