stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,83.76,0,28.83,2.6,0,1061.01,0,1.53,0,0,0,0,0,0,6.3,0,0,507.66,1.84,0,0,4.87,26.35,0.85,0,0,0,0,0.83,0,0,9.76,5.4,0,0,1.16,0,159.58
 24-34,0,1.92,0,24.15,0,0,3605.3,0,2.4,0,2.3,0,0,0.6,2.33,90.07,0,1.41,3065.52,27.94,1.55,0,14.24,242.99,0.61,2.24,1.65,0,0,10.29,27.04,0,4.63,23.38,0,0,7.92,0,386.63
 36-46,0,0,0,6.59,0,0,2121.87,0,12.69,0.57,1.08,0,1.87,1.52,0,136.51,2.26,0,4813.62,8.33,0,0,1.38,107.87,0,0,0,0,0,11.44,18.27,0,1.38,10.77,0,0,24.29,0,199.1
 48-58,0,1.92,0,4.02,0,0,1481.02,0,0,1.39,12.6,0,0,0,0,242.73,0,0,3490.56,22.43,0,1.23,3.15,139.35,0.44,0,0.69,0,0,2.48,10.52,2.18,0,24.96,0,0,36.46,0,274.99
 60-70,0,1.4,0,11.93,0,0,1479.11,5.01,0,0,18.27,0,0,5.12,3.07,309.83,0,0,2762.43,19.31,0,0,1.75,66.97,0,0,0,0,0,2.55,11.18,0,0,11.6,0,0,19.03,0,259.63
 72-82,0,1.82,0,6.19,13.7,0,850.44,0,0,11.85,11.36,0.64,0,0,0,384.19,1.43,25.28,1703.98,68.51,1.67,2.24,0,121.26,0,0,0,0,0,1.29,9.65,0,0,10.48,0,1.22,25.91,0.96,132.95
 84-94,0,6.43,0,6.82,3.99,0,1895.33,1.13,0.86,0.89,8.31,2.44,3.69,0,0,815.37,0,0,2785.36,38.5,0,0,1.1,116.12,4.66,0,0,0,0,22.62,35.26,0,0,8.59,7.29,0,9.39,3.76,154.89
 96-106,0,8.09,1.8,5.38,20.28,0,1421.8,1.82,1.4,3.06,8.58,1.59,0,3.17,0,745.37,5.87,22.18,1772.67,79.68,0,16.28,4.03,147.27,0,0,1.84,0,2.91,20.45,11.3,0,0,6.2,9.85,3.5,20.58,1.22,118.87
108-118,0,6.32,0,10.01,13.19,20.7,1795.01,2.95,0.95,0.77,22.54,2.44,0,3.09,0,1395.72,2.6,6.7,2626.82,72.1,4.16,12.96,2.24,176.22,0.55,0.67,3.91,0,4.83,14.37,6.84,0,0,4.16,0,0,18.38,0.99,138.88
120,0,14.95,0,22.54,0,0,525.06,1.67,0,0,15.89,17.81,0,0,4.71,673.07,6.14,11.54,1066.75,22.14,0,10.03,1.11,148.82,3.13,0,0,0,18.18,4.52,0,0,0,22.9,0,0,29.92,2.27,26.45
