stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.38,0,13.08,0.85,0,10.71,0,0,0,1.93,0,0.84,25.83,0,0,0,0,0,7.21,0,0,9.83,141.97,2.63,0,1.69,0,4.17,9.32,0,0,18.57,40.93,0,0,0,0,0
 24-34,0,0,0,7.9,3.45,0,22.4,0,0,0,3.43,0,29.36,155.63,2.2,0,0,0,1.36,39.41,5.25,18.13,18.18,194.64,0.59,4.68,2.34,63.94,5.78,0,0,0,1.81,35.6,0,0,3.01,0,0
 36-46,0,0.98,0,7.61,1.7,0,31.84,0,4.65,0,4.82,0.67,4.66,243.39,8.47,0,0,0,0,67.13,0,181.98,8.24,254.06,0.56,4.32,1.31,10.19,24.36,0,0,0,0,62.46,0,9.96,1.99,0,0
 48-58,0.39,0,0,7.32,21.8,0,66.75,4.15,0.37,10.58,13.38,5.02,17.91,415.3,16.99,0,0,1.88,0,53.6,0,395.98,17.05,239.85,0,0,2.13,7.67,7.65,0,0,0,0,115.45,0,14.53,5.71,5.52,5.7
 60-70,0,0.82,0,23.72,24.91,0,85.99,0.58,3.28,0.59,11.84,0,10.17,706.93,2.44,2.82,0,8.62,0,130.51,0,684.13,11.49,260.06,7.83,0,22.03,70.17,10,0,0,0,0,56.69,0,123.23,12.54,166.54,7.83
 72-82,0,0.68,0,25.38,207.65,0,268.02,0,2.7,11.13,44.7,7.79,49.42,1310.02,3.52,2.9,2.84,9.44,0,861.01,14.33,1483.16,32.88,507.83,0,4.28,80.41,516.63,11.51,0,0.53,0,0,100.16,0.56,750.56,47.07,922.38,7.55
 84-94,11.09,1.46,0,20.21,214.07,0,364.96,0,4.39,3.65,49.43,13.92,39.48,1798.57,6.28,0.86,20.83,3.5,2.42,434.88,1.71,1772.36,21.59,275.69,0,0,12.62,274.07,16.64,0,4.27,1.25,0,41.52,2.5,988.64,35.55,1005.54,0
 96-106,0,4.57,0,31.58,213.31,2.03,252.7,0,5.4,20.67,58.67,37.19,73.48,2016.66,12.01,9.41,24.19,18.37,0,1142.46,1.95,1236.29,87.24,297.55,0,8.51,74.9,1424.98,23.71,0,1.71,0,0,14.24,2.31,787.79,86.09,1787.51,10.33
108-118,0,0,0.52,42.56,90.65,3.97,212.36,3.32,6.29,31.05,52.57,32.69,33.78,1993.66,16.6,0,4.53,4.01,0,1087.19,1.46,2245.53,138.47,364.87,13.17,21.12,6.47,1846.48,26.03,0,0,0.41,0,33.94,2.76,468.94,67.94,1524.78,6.97
120,0,0,0,40.09,258.09,0,107.52,0,6.87,40.28,50.39,60.92,52.47,5556.24,7.48,0,3.53,8.29,0,1991.72,0,4274.67,60.86,542.09,15.76,15.01,7.23,1412.28,20.51,0,0,0,0,146.35,1.19,834.41,87.41,2775.14,9.38
