stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.85,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.27,1.02,0,0,0.83,0,0,0,0
 24-34,0,0,0,0.91,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0
 36-46,0,0,0,7.1,0,0,0,0,0.58,3.26,1.08,2.34,0,0,0,5.65,0,0,0,0
 48-58,0,0,0,22.64,0,0,0,0,4.19,0.93,0,3.33,0,0,0,0,0,0,0,0.46
 60-70,0,0,0,191.76,2.09,0,3.6,0,3.84,2.76,0.77,6.63,0,0,0,0,0,0,0,0
 72-82,0,3.78,0,435.04,0,1,17.87,0,1.38,18.77,0,63.99,6.8,0,0.74,0,0.77,0.63,0,0
 84-94,0,1.72,0,423.66,0,0,22.48,0,8.52,18.79,0,37.39,0,0,1.59,1.39,0,0,6.16,0
 96-106,0,1.11,0.96,508.94,0,2.56,35.29,1.8,6.91,24.36,0,54.26,0,0,0,0,0,3.01,0,0
108-118,0,5.49,0,675.78,0,1.21,57.84,0,4.8,28.31,1.13,42.52,0,0,0,1.46,0,0,0,0
120,0,2.89,0,436.39,0,0,47.25,0,1.61,36.66,0,27.79,11.19,0,0,0,0,0,0,0
