stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,11.89,101.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,72.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.7,0,0,0,0,0,0,0,0,52.02,0,0,0,0,0,0,0
 10-12,0,0,4.52,0,0,0,0,0,0,0,0,0,0,58.14,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,0,0,0,0,0,0,0,1.43,0.95,7.13,3.47,0,1.18,0.86,1.86,4.29,0
 24-34,0,0,0,5.46,1.03,0,0,0,0.64,0,0,0.65,0.91,15.41,0,2.84,0,0.63,0,2.88,0
 36-46,0,0,0,0,1.63,1.87,0,0,2.29,0,0,13.12,0,13.26,0,0,0,0,0,0.57,0
 48-58,0,0,0,0,8.18,0,0.46,0,0.37,0,0,5.27,0,18.12,0,0,0,5.81,0,4.14,0
 60-70,0,0,0,0,2.54,0,0,1.58,3.06,0,0,0,0,3.34,0,0,0,0,0,1.19,0
 72-82,0,0,0,0,3.36,0,0,0,3.21,2.69,0,4.27,0,3.1,0,1.29,0,0,0,1.51,0
 84-94,0,0,0,1.58,0.68,0,0,0,0,0,0.62,3.18,0,0.59,0,1.92,0,0.74,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,11.65,0,0,0,10.85,0,0,0,0,0,0,1.13
108-118,0,0,0,3.83,5.49,0,0.52,0,2.74,10.95,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,14.01,0,0,0,4.46,0,0,0,0,0,0,0
