stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,96.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.33,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.69,9.24,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.17,3.39,0,0,10.58,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.62,104.77,2.05,0,17.06,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,15.41,36.61,501.73,0,0,5.31,0,0,10.88,0.82,0,4.24,42.68,0,0,0,0,0
 24-34,0,0,1.95,320.71,0,0,19.76,2.89,7.34,0,0.9,0,3.46,0,0,0,2.06,0,106.69,5.45,0,51.71,83.27,167.39,1.72,0,0,0,10.72,0,0,1.84,5.31,37.03,0,0,3.02,0,0
 36-46,0,0,0,222.42,0.57,0,15.92,7.4,31.09,1.09,1.66,0.58,0,0,4.93,0.88,2.18,4.05,140.84,0,0.6,28.93,67.89,104.28,0.71,4,0,2.85,11.3,0,0,16.89,0,20.54,0,0,0,0,1.52
 48-58,0.77,0,0,216,0,0,32.46,7.46,9.92,2.13,2.08,0,0.37,0,6.25,0,1.48,0,262.02,0.56,1.31,32.69,94.54,79.33,0,5.56,0,0,14.01,0,0,1.87,0,19.08,0,0,1.09,0,0
 60-70,0,0,0,145.11,0,0,51.98,14.07,20.67,7.57,5.43,0,0,0,0,0,0,0,411.18,1.91,2.59,34.29,74.95,40.56,0,14.54,0,0,0,0,0,0,0,6.29,0,0.69,0,2.76,0
 72-82,0,0,0,113.13,0.52,0,55.9,5.29,35.7,12.92,8.51,0,0,0,0.6,0,2.45,0,516.88,3.32,4.13,61.64,78.42,22.76,3.18,7.69,0,0.8,2.35,0,0,0,0,9.59,4.74,1.26,0.85,4,3.42
 84-94,0.62,0,0,207.12,0,0,43.31,0,39.67,3.01,8.08,0,0,0,2.65,2.54,3.72,0,504.37,1.41,0,41.68,91.24,63.23,2.13,16.18,0,2.65,0,0,0,0,0,1.41,2.04,1.79,3.08,6,0
 96-106,0,0,0,155.47,20.57,0.6,54.71,3.39,41.87,15.23,11.17,0,3.21,0,1,0,0,0,386.79,0.96,12.8,26.68,77.14,19.69,2.44,19.45,0,4.63,7.91,0,3.02,0,0,0,0,0.66,0,8.56,0.91
108-118,0,0,0,249.62,0,4.17,79.03,0.49,42.34,7.83,1.06,0,0.8,0.47,0.53,0,0.64,0,439.42,0,7.11,38.2,104.44,34.07,4.26,14.16,0,5.01,6.23,0,1.49,0.43,0,1.46,0.42,0,1.31,5.09,0
120,0,0,0,227.29,0,0,90.25,9.26,25.59,18.46,10.52,0,0,0,0,0,1.84,8.88,455.15,0,10.29,65.55,196.51,35.16,3.3,4.94,0,0,0,0,0,0,0,2.5,0,9.46,0,7.07,0
