stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.81,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,1.37,0,0,0,4.54,0,0,0,0
 24-34,0,2.01,1.97,0,0,11.34,0,0,0,1.45,0,1.97,0,0,0,0,0,0,0,127.5,32.59,0,0,0,71.26,0,0,0,0
 36-46,0,0,0,0,0,14.35,0,0,0,0.66,0,0,0,0,0,0,1.69,0,0.6,380.26,16.57,0,0,0,125.47,0,0.61,0,0
 48-58,0,0,1.85,0,0,14.35,0,0,0.72,5.34,0,0,0,0,0,0,16.42,0,5.81,787.97,12.01,0,0,0,86.65,0,6.28,0,1.47
 60-70,0,1.79,1.15,0,0,45.53,0,0,0,45.24,0,0,0,0.82,0,0,23.6,0,0,1381.38,4.91,0,4.14,0,116.19,0,1.15,0,0
 72-82,0,1.66,1.32,0,0,119.4,0,0,0,126.35,0.85,0,0,0.73,0,0,31.54,0,0,2044.18,20.69,0,0,0,57.31,0,0.5,0,0
 84-94,0,3.36,7.67,0,0,82.17,0,0.66,0,79.95,0.73,0,0,2.2,0.7,0.82,32.15,0.6,0.75,1233.09,6.29,4.36,0,0,55.93,1.96,0,0,0
 96-106,0,0.99,3.35,0,0,35.97,2.82,0,0,157.5,2.56,0,1.18,0.81,4.35,0,36.92,0,0,1160.62,11.44,1.52,0,4.09,21.29,0,0,0,0
108-118,0,2.54,13.46,3.65,0.57,46.2,0,0.45,0,212.1,0.52,0,0.77,0.45,1.01,1.74,60.11,0,1.71,1287.08,12.46,2.55,0,0,23.69,0,0.45,0.91,0
120,0,0,6.31,0,2.68,121.67,0,0,0,69,10.56,0,5.05,0,0,3.69,67.83,0,0,1650.69,1.29,14.25,0,3.01,43.87,0,0,0,0
