stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,2.41,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0
 36-46,0,0,0,0.98,0,0,0,0,0,0,0,1.72,0,0
 48-58,0,0,0,9.55,0,0,0,2.97,0,6.46,0,3.44,0,0
 60-70,0,0,0,24.65,0,0.66,0,4.27,0,1.87,0,2.56,0,0
 72-82,0,3.65,0,49.12,1.1,0.81,1.13,5.07,2,4.23,0,0,5.09,0
 84-94,1.32,0,0,32.22,0,2.32,0,2.78,0,2.62,0,1.84,2.54,0
 96-106,0.7,2.51,0,56.82,0,0,3.35,6.57,3.06,3.88,0,0,2.71,0
108-118,4.47,2.59,1.6,32.44,0,0.63,1.59,7.51,1.17,16.31,1.82,0,1.21,2.08
120,0,0,0,77.85,0,0,1.7,0,5.02,4.37,0,0,1.09,0
