stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,28.29,127.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0
  5-6,0,102.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,43.17,0,0,18.92,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,0,0,9.9,0,0,3.14,0,0,0
 14-21,0,0,6.98,0,0,0,0,0,0,0,0,0,0,2.11,0,0,5.15,0,0,0,1.32,1.57,0.91,0,0,0
 24-34,0,0,15.72,0,0,0,0,0,0,0,0,0,0,9.82,0,0,24.06,0,0,0,0,0,0.97,0.91,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0.7,1.58,0,0
 48-58,0,0,0,0,0,0,1.18,1.1,0,0,0,0,0,0.89,0,0,1.84,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,3.49,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0.78,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.4,0,0,1.05,0,3.29,0,0,0,1.08,0.79,0,0,0,0,0,0,0.66
 84-94,0,0,1.94,0,0,0,0,0.98,0,2.59,0,0,1.19,1.59,0,0,0,0,0,0,2.63,0,0,0,0,0
 96-106,0,0,7.66,1.05,0,1.41,2.37,0,0,0,0,1.27,0,2.09,0,2.84,0,1.03,0,0,5.97,0,0,0,0,0
108-118,0,0,10.44,0,0,0,1.09,2.5,0.45,0,1.82,0.69,2.29,8.41,0,0,0.49,0.53,0,0,9.43,0,0,0,0.91,0
120,0,0,2.26,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,1.6,0,0,0,0,0
