stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0
  5-6,7.66,106.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,8.66,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,2.52,0,0,0,0,2.19,3.06,0,0,0,0,0
 24-34,0,0,0,0,3.05,0,0,0.9,0,0,0,0,0,0,0,0.59,0,0,0.85,8.6,0,0,0,0,0,0,0,1.33,0,0,0,0
 36-46,0,0,0,0,0.96,3.42,0,0,0,0,0,0,0,0,2.29,0.56,0,0,0,29.26,2.62,0,0,0,0,0,0,0.96,0,0,0,0
 48-58,0,0,0.45,0,1.08,0,0,0,0,0,0.99,0,0,0,0.71,0,0,0.77,0,25.42,0,0.77,0,0,2.29,0,0,0.69,0,0,0,0.55
 60-70,0,0,0.99,0.98,11.8,0,0,0,0.91,1.57,7.48,0.75,0,2.01,0,4.88,0,0,0,13.67,0,0,0,0,1.4,0,0,0,0,0,0,0
 72-82,0,0,0,15.78,33.24,0,0,0.64,2.44,0,1.7,0,0,0,0,12.76,0.78,0.81,0,16.97,0,0,0,0,4.72,0,0,5.35,0,0,1.7,0
 84-94,0,0,0,3.41,21.33,0,0,0,4.62,0,10.06,1.72,0,0,0.58,1.92,0,0,0.79,16.79,0,1.05,2.01,0,6.9,0,0,0,2.5,4.73,0,0
 96-106,0,0,5.21,17.52,14.7,0,0,0,12.72,0.81,13.33,0,0,0,0,1.27,1.11,4.24,0,13.2,0,6.73,1.08,0,40.72,0,0,0,1.41,0,1.45,4.35
108-118,0,0,3.81,9.39,16.03,0,0.7,0,1.58,0.41,4.44,2.82,0,0,1.5,9.18,1.38,0.79,0,37.71,0.43,2.58,0.66,0,21.61,0,0,3.93,0,0,1.1,8.59
120,0,0,11.47,1.59,8.91,0,2.55,0,7,5.9,21.86,0,1.91,0,0,16.15,0,3.51,6.04,29.98,0,0,0,0,89.38,0,0,0,2.56,0,0,0
