stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,714.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,333.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,22,0,0,0,0,0
  7-9,13.84,4.45,9.37,0,19.01,0,0,0,0,7.36,0,0,0,0,0,184.33,12.55,45.49,0,5.15,0,0,0,0
 10-12,0,11.37,9.87,0,7.08,0,0,0,0,3.59,0,0,0,0,0,120,7.71,24.1,0,0,0,6.52,0,0
 14-21,0,0,0,2.96,1.29,0,0,8.09,0,0,0,0,0,0.86,0,12.65,0,0.81,1.9,0,4.34,0,0.85,9.25
 24-34,0,0,0,1.24,5.08,0,0,0.96,0,0,1.01,0,0,0,1.51,92.85,0,0,0.92,0,0,0,0,17.06
 36-46,0,0,0,0,10.33,0.68,0,9.23,0,0,0,0,0,3.61,0,111.2,0,0,0,0,0,0,0,22.03
 48-58,0,0,0,0,10.05,0,0,31.36,3.05,0,0,0,0,4.23,0,68.3,0,0,0,0,0,0,0,18.58
 60-70,0,0,0,0,20.24,0,0,28.84,0,0,0,4.4,0,0,0.6,69.35,0,0,0,0,0,0,0,10.16
 72-82,0,0,0,0,30.01,0,0,29.03,0,0,0,0,0,1.86,0,35.53,0,0,0,0,0,0,0,8.66
 84-94,0,0,0,0,19.26,0,0,19.38,0,0,0,0,0,1.56,0,27.06,0,0,0,0,0,0,0,1.96
 96-106,0,0,0,0,18.66,0,0,16.11,0,0,0,0,0,4.31,0,25.43,0,0,2.16,0,0,0,0,0
108-118,0,0,0,0,14.18,0,0.78,18.18,0,0,0,0,1.13,0,2.07,32.52,0,0,0,0,0,0,0,3.46
120,0,0,0,0,10.87,0,0,60.7,0,0,0,0,0,0,10.68,28.61,0,0,0,0,0,0,0,1.75
