stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,99.16,1317.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,162.03,2683.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.48,17.4,0,0,13.46,0,63.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.45,10.63,12.96,0,0,0,21.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.66,4.85,0,0,72.21,0,4.29,7.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.88,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,423.63,123.81,0,2.85,0,0,0,0,0,0,17.82,0,0,0.87,0,0,0,70.14,2,0,91.48,38.34,9.18,0,0,0,0,8.73,0,25.51,7.44,48.34,53.47,13.33,0,0,1.43,0,0
 24-34,0.88,0,0.79,1303.4,47.22,0,19.92,7.01,16.88,0,5.38,0.64,0,116.84,0,1.48,0.85,13.25,0,0,589.38,10.98,5.57,497.24,179.17,42.47,2.85,0,0,12.6,13.32,0,3.23,11.43,57.82,28.26,23.57,0,0,39.24,0,1.97
 36-46,0,0,0,1437.23,5.52,0,17.26,27.31,69.36,12.08,7.77,0.66,0,121.89,0,7.87,15.47,20.98,0.94,3.13,1791.81,12.32,51.55,538.6,263.06,90.31,4.67,3.45,0,1.01,24.22,0.65,0,25.03,44.77,7.4,28.79,0,1.99,40.49,0,3.6
 48-58,0.77,0,0.6,966.59,4.92,0,56.1,4.76,82.7,71.18,13.9,0,0.39,147.11,1.69,0.46,0,16.27,0,4.38,1522.34,3.04,61.3,363.42,282.63,53.9,0,8.67,0,14.42,4.31,0,0,7.99,31.35,0,26.62,0,4.2,47.08,0,0.88
 60-70,0,0,0,510.4,12.21,0,43.14,22.65,57.16,126.04,6.46,1.44,0,66.46,5.37,0,0,12.94,0,0,1270.39,9.82,109.41,191.26,170.8,57.37,0,3.19,0,37.49,2.96,0,0,29.67,24.4,0,6.97,0,19.82,88.93,13.91,1.78
 72-82,0,0,1.12,379.39,29.3,0,78.59,39.8,27.93,93.51,25.25,2.07,0,95.71,1.89,0,0,29.1,0,0,1506.87,4.75,190.57,239.3,144.09,33.51,3.36,4.36,0,53.69,5.23,0,0,19.62,12.56,0,14.25,0,45.32,258.49,44.02,28.5
 84-94,0,0,0,660.32,27.38,0.87,73.2,39,50.69,95.07,10,2.6,0,102.86,2.03,0.65,0,9.96,1.62,0,1178.39,3.26,226.43,144.16,54.6,59.91,2.36,19.04,0,35.81,14.16,0,0,26.21,9.32,0,5.58,0,50.92,238.58,69.07,1.5
 96-106,0,0,1.03,614.11,49,1.76,51.85,44.27,37.08,110.08,20.53,12.1,0,159.74,2.15,0.77,0.64,17.01,9.62,0,1277.31,13.14,122.79,159.01,132.4,32.75,2.86,12.84,1.2,58.95,4.33,0,0,16.17,8.24,0,0,0.61,91.66,307.11,118.55,0
108-118,0,0,0.49,630.64,28.91,3.64,34.57,30.52,44.05,128.95,21.47,16.02,0,126.58,3.9,0.7,2.2,18.05,4.24,0,1389.55,2.03,141.79,140.52,141.46,29.22,2.56,25.02,0,58.4,13.33,0,0,10.83,3.84,0,2.22,0,37.5,329.95,74.65,14.12
120,0,0,1.66,436,20.36,0,55.39,44.73,21.99,82.4,0,11.57,0,148.58,0,0,0,12.77,8.91,0,1057.42,3.92,199.46,73.62,142.16,37.92,3.61,2.43,19.84,41.43,6.67,0,0,4.64,2.73,0,5,0,61.88,418.96,123.79,0
