stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
  3-4,14.95,164.02,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,109.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.26,0,0,0,0,0,0,0,0,26.7,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.73,0,0,0
 14-21,0,0,0,0,0,0.97,0,0,0,0,8.31,0,0.89,0
 24-34,0,0,0.84,1.59,0,2.01,1.35,2.79,0,0,23.33,0,0.98,0
 36-46,0,0,0,0.65,0,1.15,0,0,0,0,3.61,0,0,0
 48-58,0,0,0,0,0,1.08,0.8,0.57,0,0,0.75,0,0,0.51
 60-70,0,0,0,0.88,0,9.98,6.65,0,0,0,0,0,0,0
 72-82,0,0,0.75,0,0,0,1.06,2.51,0,0,0,0,0,0
 84-94,0,0,0,0.98,0,0.75,0,1.37,0.93,0,0,2.31,0,0
 96-106,0,0,0,0,1.66,2.27,0,4.49,0,0,10.7,1.54,0,0
108-118,0,0,0,0,0.5,2.36,2.82,0.81,4.52,0,4.67,0.43,4.38,0
120,0,0,0,0,0,6.48,0,0,0,1.93,1.37,2.61,0,0
