stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,21.78,0,0,0,0,0,0,0,0,0,11.29,0,0,0
  5-6,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.04,0,0,0,0,12.43,0,0,0,3.21,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0
 14-21,0,0,0.93,0,0,0,0,0,1.35,2.23,0,1.29,0,1.63
 24-34,0,0.69,0,0,0.73,0,1.01,0,0,8.82,0,0,0,0.87
 36-46,0,0,0,1.25,0,0,0,0,0,0.89,0.83,0,0,1.84
 48-58,0,0,0,2.39,0,0,0,1.45,0,6.7,0,0,0,0
 60-70,0,0,0,6.28,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,1.21,0,0,0,1.19,0,12.13,0,0,0,0
 84-94,0,0,0,1.07,0,0,0,0.99,0,3.75,0,0,0.76,0
 96-106,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0
108-118,0,0,0,0.49,0,0,0,1.52,0,0.82,1.02,0,0,0
