stage,eye,muscle,neural,periderm,presomitic_mesoderm,somites
 14-21,0,0,0,0,0.82,0
 24-34,0,0.74,0,1.29,0,0.67
 36-46,0.67,0,0,0,0,0
 84-94,0,0.6,0,1.85,0,0
108-118,0,0,1.41,0.49,0,0
