stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,86.97,1096.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.52,497.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.02,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,16.33,0,0,0,42.71,0,0,0,0,0,21.96,0,0,0,0,0,0,0,0,0,0,423.92,26.23,0,0,135.88,0,0,18.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.25,0,59.71,0,10.76,0,40.69,0,0,0,0,0,8.63,0,0,0,0,0,0,0,0,0,0,618.38,25.77,0,0,110.48,0,0,6.03,4.61,3.38,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,4.27,79.28,7.64,0,26.64,0,2.68,0,14.67,4,1.02,0,2.44,0,0,0,0,41.43,0,0,60.15,234.33,14.77,0,3.89,1.99,0,9.22,0,39.14,0,51.7,139.61,131.4,0,0,3.51,0,0
 24-34,0,0,0,2.15,38.55,1.4,0,34.74,0,0,2.41,15.57,1.28,3.09,3.45,0,9.01,0,0.98,0,67.96,8.32,0.69,55.63,638.43,6.91,14.19,6.61,0,0,15.03,0.98,0,0,4.37,8.06,191.53,0,0,5.9,0,0
 36-46,0,0,1.35,0,35.45,0,0,41.34,1.45,5.34,1.12,29.2,0,0,0,0,1.34,0,0,0,53.2,0,0.77,22.8,1249.56,19.46,7.77,2.83,0,0,7.81,0.81,1.63,0,0.58,0,218.99,0,0,4.07,0.78,0
 48-58,0,0,0,0,18.51,1.35,0,159.86,0.92,8.15,3.34,50.52,1.61,0.97,0,0,1.27,2.03,0,2.18,39.93,1.91,3.41,12.46,1644.44,2.34,7.19,3.67,0,0,2.2,0,0,0,2.66,0,195.99,0,0,2.96,0,2.17
 60-70,0,0,1.46,0,20.33,0,0,475.37,1.08,9.54,3.05,65,0,0,0,0,0,0,1.16,0.87,28.01,5.22,0,8.81,1927.6,0,9.52,9.16,0,0,10.25,0,0,1.75,2.37,0,188.37,0,0.82,6.12,0,5.13
 72-82,0,0,0,0,22.14,0.59,0,490.07,0,6.01,5.23,76.8,1.02,0.5,0,5.09,0.63,0,0,0,35.33,0,1.04,1.26,1642.42,1.43,6.14,6.7,0,0,3.25,0,0,1.62,0,0,92.8,0,1.67,4.84,0,3.65
 84-94,0,0,0,0,17.67,1.05,2.35,371.79,1.03,1.23,0,77.09,3.09,0,1.27,9.91,1.14,0,0,0,50.37,0,2.23,6.55,1083.17,0,6.77,3.36,0,1.59,5.1,0,0,1.18,0,0,87.41,0,1.31,1.61,1.66,0
 96-106,0,0,0,0,27.53,0.77,3.94,406.48,0.67,1.78,3.42,73.28,3.39,0,0,16.44,2.31,0.77,0,11.52,19.37,0,0,4.26,937.39,1.24,2.21,4.66,0,0,5.38,0,0,0.89,0,0,47.41,0,0,3.69,0,13.02
108-118,0,0,0,0,25.88,1.61,1.07,384.26,0,4.51,4.9,73.1,1.46,0,0.64,14.95,6.05,0.42,0,0,48.07,0,0,4.01,1175.99,0,9.24,10.97,0,0,0,0,0,0,1.12,0,49.18,0.71,0,4.66,3.2,1.55
120,0,0,6.47,0,60.4,2.56,0,483.82,0,4.49,5.53,272.47,2.89,0,0,23.23,5.09,0,1.88,8.3,17.47,1.49,0,11.53,2570.05,2.06,15.58,17.24,0,0,5.12,0,0,0,0,0,111.61,3.65,0,13.91,8.85,0
