stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,15.1,5.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.21,0,0,0,0.89,13.06,1.39,0,0,0,0,0,2.5,0,0,0
 24-34,0,0.69,2.52,0,0,0,0.98,0,0,0,0,47.4,0,0,0,0,0,0,5.88,0,0,0
 36-46,0,0,11.7,0,1.41,0,4.07,0,0,1.06,0,114.11,0,0,0,0,0,0.58,19.6,4.71,0,0
 48-58,0,0,34.22,0,16.25,0,0,0,0,1.42,0,133.55,0,0,0,0,4.36,0,11.8,0,0,0
 60-70,0,0,55.7,0,22.43,0,0,0,1.41,3.1,0,323.19,0,0,0,0,0.64,0,38.06,0,0,0
 72-82,0,1.31,79,0,30.3,0,1.41,0.51,0,10.93,0,320.65,0,0,0.75,0,0,0,31.81,0,0,0
 84-94,0,0,111.49,1.31,22.03,0,0,0,0,3.39,0,266.84,0,0,0,4.76,0,0,15.01,1.61,1.34,10.49
 96-106,0,2.45,79.37,0,11.61,0,0,0,0,1.57,0,176.64,0,0,0,0,1.73,0,8.63,2.1,0,0
108-118,0,6.67,82.81,1.6,23.14,0,0,0,0,0,0,258.97,0,1.35,0.44,0,0,0,19.5,0,0,0
120,0,1.81,34.04,0,57.44,0,0,0,0,3.25,0,379.53,0,0,0,0,1.83,0,21.32,0,0,0
