stage,blastomeres,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord
  3-4,49.02,0,0,0,0,0,0,0,0,0
  5-6,7.83,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.99,0,4.25,0,0,0
 10-12,0,0,0,0,16.14,0,0,0,0,0
 14-21,0,1.68,6.9,0,0,0,0,1.05,0,0
 24-34,0,0,2.39,0,1.83,0,0,0,0.63,4.23
 36-46,0,0,0,0,0.67,0,0,0,0,1.99
 48-58,0,0.73,0,0,0.59,0,0,0,0,3.62
 60-70,0,0,0,0,0,0,0,0,0,3.52
 72-82,0,1.69,0.79,0,0,0.49,0,0,0,0
 84-94,0,1.16,0,0,0,0,0,0,0,1.06
 96-106,0,0.99,0,0,0,0,0,0,0,0
108-118,0,0,0.48,0.54,0,0,0,0,0,0
120,0,3.74,0,0,1.67,0,0,0,0,0
